"Feature","Log2FC","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"LINC00595",-1.35,-0.983,-4.09,9.6e-05,0.0381,"None","414243","long intergenic non-protein coding RNA 595","down",4.01772876696043
"PITPNM1",-0.655,6.87,-4.05,0.000105,0.0394,"Endocrine","9600","phosphatidylinositol transfer protein membrane associated 1","down",3.97881070093006
"ADGRA1",-1.04,2.27,-4.05,0.000107,0.0394,"Endocrine","84435","adhesion G protein-coupled receptor A1","down",3.97061622231479
"ATP6AP1",-0.525,7.9,-4.04,0.00011,0.0394,"None","537","ATPase H+ transporting accessory protein 1","down",3.95860731484178
"CAPN13",-1.12,5.8,-4.04,0.00011,0.0394,"None","92291","calpain 13","down",3.95860731484178
"PMFBP1",0.967,0.598,4.01,0.000123,0.0427,"None","83449","polyamine modulated factor 1 binding protein 1","up",3.9100948885606
"KISS1",-1.06,-0.0615,-3.99,0.000133,0.0452,"None","3814","KiSS-1 metastasis suppressor","down",3.87614835903291
"ENTPD3",-0.863,6.93,-3.97,0.00014,0.0466,"None","956","ectonucleoside triphosphate diphosphohydrolase 3","down",3.85387196432176
"SHISAL2A",-1.08,-1.71,-3.98,0.000155,0.05,"None","348378","shisa like 2A","NS",3.80966830182971
"CES4A",-0.896,5.25,-3.94,0.000158,0.05,"None","283848","carboxylesterase 4A","NS",3.80134291304558
"INSYN1",-0.934,5.05,-3.92,0.000171,0.0531,"Endocrine","388135","inhibitory synaptic factor 1","NS",3.76700388960785
"TMEM47",0.649,3.69,3.9,0.000184,0.0559,"None","83604","transmembrane protein 47","NS",3.73518217699046
"KCNJ5",1.8,1.37,3.89,0.000194,0.0566,"None","3762","potassium inwardly rectifying channel subfamily J member 5","NS",3.71219827006977
"SRD5A1",-0.913,6.49,-3.88,0.000195,0.0566,"None","6715","steroid 5 alpha-reductase 1","NS",3.70996538863748
"OGDHL",-0.685,5.92,-3.88,0.000199,0.0566,"None","55753","oxoglutarate dehydrogenase like","NS",3.70114692359029
"GUCY1B1",-0.608,5.22,-3.87,0.000204,0.0566,"None","2983","guanylate cyclase 1 soluble subunit beta 1","NS",3.6903698325741
"LOC101927531",1.47,-0.64,3.89,0.000206,0.0566,"Non-endocrine","101927531","uncharacterized LOC101927531","NS",3.68613277963085
"CTAGE6",-1.07,-1.64,-3.88,0.000216,0.0575,"None","340307","CTAGE family member 6","NS",3.66554624884907
"UBXN10",-0.854,5.49,-3.85,0.000217,0.0575,"None","127733","UBX domain protein 10","NS",3.66354026615147
"EPHA8",-1.33,3.71,-3.84,0.000226,0.0586,"None","2046","EPH receptor A8","NS",3.6458915608526
"POLR1A",-0.578,6.15,-3.83,0.000237,0.0604,"Endocrine","25885","RNA polymerase I subunit A","NS",3.6252516539899
"SP5",-1.08,0.639,-3.82,0.000243,0.0609,"None","389058","Sp5 transcription factor","NS",3.61439372640169
"P3H1",-0.527,4.77,-3.8,0.000259,0.0637,"None","64175","prolyl 3-hydroxylase 1","NS",3.58670023591875
"ERLEC1",-0.533,7.4,-3.77,0.00029,0.0688,"None","27248","endoplasmic reticulum lectin 1","NS",3.53760200210104
"GNAS",-0.597,12.3,-3.77,0.000292,0.0688,"Endocrine","2778","GNAS complex locus","NS",3.53461714855158
"PRAF2",-0.747,3.22,-3.76,0.000294,0.0688,"None","11230","PRA1 domain family member 2","NS",3.53165266958784
"MEG3",-0.835,9.7,-3.76,0.000303,0.0698,"Endocrine","55384","maternally expressed 3","NS",3.5185573714977
"PTPN14",0.797,2.91,3.74,0.000324,0.0733,"Non-endocrine","5784","protein tyrosine phosphatase non-receptor type 14","NS",3.48945498979339
"CHL1",-1.29,3.96,-3.73,0.00033,0.0735,"None","10752","cell adhesion molecule L1 like","NS",3.48148606012211
"EPB41L4B",0.736,6.68,3.72,0.000344,0.0754,"Non-endocrine","54566","erythrocyte membrane protein band 4.1 like 4B","NS",3.46344155742847
"GRAMD2B",-0.498,4.7,-3.71,0.00035,0.0757,"None","65983","GRAM domain containing 2B","NS",3.45593195564972
"PCDH10",1.09,2.89,3.7,0.000361,0.0768,"None","57575","protocadherin 10","NS",3.44249279809434
"UGT2B4",1.69,-1.26,3.75,0.000367,0.077,"None","7363","UDP glucuronosyltransferase family 2 member B4","NS",3.43533393574791
"ARPIN",0.642,4.75,3.69,0.000385,0.0796,"None","348110","actin related protein 2/3 complex inhibitor","NS",3.4145392704915
"TBX19",-0.679,1.97,-3.67,0.000412,0.084,"None","9095","T-box transcription factor 19","NS",3.38510278396687
"PRRT3",-0.529,4.94,-3.66,0.000426,0.0843,"Endocrine","285368","proline rich transmembrane protein 3","NS",3.37059040089728
"CCDC27",1.27,-2.41,3.74,0.000429,0.0843,"None","148870","coiled-coil domain containing 27","NS",3.36754270781528
"TRIM9",-0.888,5.16,-3.65,0.000433,0.0843,"None","114088","tripartite motif containing 9","NS",3.36351210364663
"RFX8",-1.25,-0.178,-3.65,0.000437,0.0843,"None","731220","RFX family member 8, lacking RFX DNA binding domain","NS",3.35951856302958
"PARVB",-0.628,6.18,-3.63,0.000462,0.0878,"None","29780","parvin beta","NS",3.33535802444387
"NLRP3",1.66,0.647,3.62,0.000481,0.0903,"None","114548","NLR family pyrin domain containing 3","NS",3.31785492362617
"IGF2",-1.09,3.5,-3.59,0.000531,0.0983,"None","3481","insulin like growth factor 2","NS",3.27490547891853
"ITIH3",-1.16,0.322,-3.58,0.000555,0.102,"None","3699","inter-alpha-trypsin inhibitor heavy chain 3","NS",3.25570701687732
"TPRN",0.858,4.56,3.57,0.00057,0.103,"Non-endocrine","286262","taperin","NS",3.24412514432751
"UCHL1",-0.711,8.27,-3.56,0.000589,0.105,"Endocrine","7345","ubiquitin C-terminal hydrolase L1","NS",3.2298847052129
"ABRAXAS1",0.557,2.91,3.54,0.000625,0.109,"None","84142","abraxas 1, BRCA1 A complex subunit","NS",3.20411998265592
"ADAMTS17",0.871,1.18,3.54,0.000626,0.109,"Non-endocrine","170691","ADAM metallopeptidase with thrombospondin type 1 motif 17","NS",3.20342566678957
"P3H3",-0.549,5.82,-3.53,0.000642,0.11,"None","10536","prolyl 3-hydroxylase 3","NS",3.19246497193115
"KNDC1",-0.694,5.29,-3.52,0.000667,0.111,"Endocrine","85442","kinase non-catalytic C-lobe domain containing 1","NS",3.17587416608345
"RBP4",-1.02,8.15,-3.52,0.000668,0.111,"Endocrine","5950","retinol binding protein 4","NS",3.17522353752445
"DMD",0.81,4.37,3.52,0.000669,0.111,"Non-endocrine","1756","dystrophin","NS",3.17457388223218
"AMPH",-0.729,4.82,-3.52,0.000684,0.112,"None","273","amphiphysin","NS",3.16494389827988
"IMPA2",1.01,5.45,3.51,0.00069,0.112,"Non-endocrine","3613","inositol monophosphatase 2","NS",3.16115090926274
"DKK3",0.917,5.09,3.51,0.000699,0.112,"None","27122","dickkopf WNT signaling pathway inhibitor 3","NS",3.15552282425432
"PDE8B",-0.663,5.35,-3.51,0.000704,0.112,"None","8622","phosphodiesterase 8B","NS",3.15242734085789
"TMEM150C",-0.874,5.01,-3.5,0.00073,0.114,"None","441027","transmembrane protein 150C","NS",3.13667713987954
"CAMK1D",0.894,3.8,3.49,0.000737,0.114,"Non-endocrine","57118","calcium/calmodulin dependent protein kinase ID","NS",3.13253251214095
"EEF1A2",-0.678,8.65,-3.48,0.000769,0.118,"None","1917","eukaryotic translation elongation factor 1 alpha 2","NS",3.11407366019857
"TMEM98",0.8,3.97,3.47,0.000788,0.12,"Non-endocrine","26022","transmembrane protein 98","NS",3.10347378251044
"SNRPA",-0.504,4.63,-3.47,0.000801,0.12,"None","6626","small nuclear ribonucleoprotein polypeptide A","NS",3.09636748391576
"MAGED1",-0.469,8.36,-3.46,0.000831,0.121,"None","9500","MAGE family member D1","NS",3.08039897621589
"MUC1",1.1,4.47,3.45,0.000844,0.121,"Non-endocrine","4582","mucin 1, cell surface associated","NS",3.07365755337434
"OXCT1",-0.517,4.85,-3.45,0.000846,0.121,"None","5019","3-oxoacid CoA-transferase 1","NS",3.07262963696098
"CFAP52",-1.13,-1.59,-3.48,0.000847,0.121,"None","146845","cilia and flagella associated protein 52","NS",3.07211658966929
"TAFA4",-1.03,0.101,-3.45,0.000849,0.121,"Endocrine","151647","TAFA chemokine like family member 4","NS",3.07109230975605
"IL5RA",-1.11,1.91,-3.44,0.000866,0.122,"Endocrine","3568","interleukin 5 receptor subunit alpha","NS",3.06248210798265
"PIEZO2",1.51,0.151,3.44,0.000886,0.122,"None","63895","piezo type mechanosensitive ion channel component 2","NS",3.05256627811295
"RBPMS",0.486,4.48,3.44,0.00089,0.122,"Non-endocrine","11030","RNA binding protein, mRNA processing factor","NS",3.05060999335509
"NCAN",-1.06,-0.617,-3.43,0.000896,0.122,"None","1463","neurocan","NS",3.04769199033787
"SPOCK2",-0.786,2.47,-3.42,0.000924,0.122,"None","9806","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2","NS",3.03432802877989
"TPD52L1",0.798,3.04,3.42,0.000928,0.122,"Non-endocrine","7164","TPD52 like 1","NS",3.03245202378114
"NECTIN3",-0.528,5.47,-3.42,0.000933,0.122,"Endocrine","25945","nectin cell adhesion molecule 3","NS",3.0301183562535
"ABHD10",-0.484,5.75,-3.42,0.000946,0.122,"None","55347","abhydrolase domain containing 10","NS",3.02410886359821
"ENPP2",-0.747,8.83,-3.41,0.000956,0.122,"None","5168","ectonucleotide pyrophosphatase/phosphodiesterase 2","NS",3.0195421077239
"CHRD",0.854,2.28,3.41,0.000961,0.122,"Non-endocrine","8646","chordin","NS",3.01727661233145
"PLA2G10",1.03,-1.52,3.42,0.00098,0.122,"None","8399","phospholipase A2 group X","NS",3.00877392430751
"HMGN5",-0.777,5.21,-3.41,0.000981,0.122,"None","79366","high mobility group nucleosome binding domain 5","NS",3.00833099262005
"CNN2",0.885,4.06,3.4,0.000982,0.122,"Non-endocrine","1265","calponin 2","NS",3.00788851221305
"ADGRF4",-1.31,-0.181,-3.41,0.000991,0.122,"None","221393","adhesion G protein-coupled receptor F4","NS",3.00392634551472
"PEBP1",-0.53,8.99,-3.4,0.000992,0.122,"None","5037","phosphatidylethanolamine binding protein 1","NS",3.00348832784582
"CHPF",-0.541,8.19,-3.4,0.000994,0.122,"None","79586","chondroitin polymerizing factor","NS",3.00261361560269
"SLC6A16",1.12,0.243,3.39,0.00104,0.125,"None","28968","solute carrier family 6 member 16","NS",2.98296666070122
"SLC39A7",-0.496,7.73,-3.38,0.00105,0.125,"None","7922","solute carrier family 39 member 7","NS",2.97881070093006
"IGFN1",1.49,2.12,3.39,0.00105,0.125,"Non-endocrine","91156","immunoglobulin like and fibronectin type III domain containing 1","NS",2.97881070093006
"SAMSN1",1.06,-0.073,3.38,0.00106,0.125,"None","64092","SAM domain, SH3 domain and nuclear localization signals 1","NS",2.97469413473523
"CDHR1",-1.24,1.84,-3.38,0.00106,0.125,"None","92211","cadherin related family member 1","NS",2.97469413473523
"PODXL2",-0.515,6.33,-3.38,0.00108,0.126,"None","50512","podocalyxin like 2","NS",2.96657624451305
"CFAP77",-1.14,-1.53,-3.38,0.0011,0.128,"None","389799","cilia and flagella associated protein 77","NS",2.95860731484178
"CHRM3",0.996,2.79,3.36,0.00112,0.129,"None","1131","cholinergic receptor muscarinic 3","NS",2.95078197732982
"ABCC8",-0.743,9.74,-3.36,0.00113,0.129,"Endocrine","6833","ATP binding cassette subfamily C member 8","NS",2.94692155651658
"RCN1",-0.526,6.18,-3.36,0.00114,0.129,"None","5954","reticulocalbin 1","NS",2.94309514866353
"CXCL12",1.19,5,3.36,0.00115,0.129,"Non-endocrine","6387","C-X-C motif chemokine ligand 12","NS",2.93930215964639
"TUBB2B",-0.767,3.77,-3.35,0.00117,0.13,"None","347733","tubulin beta 2B class IIb","NS",2.93181413825384
"TMEM97",1.02,5.01,3.34,0.00122,0.134,"Non-endocrine","27346","transmembrane protein 97","NS",2.91364016932525
"LDOC1",-0.484,5.78,-3.34,0.00123,0.134,"None","23641","LDOC1 regulator of NFKB signaling","NS",2.9100948885606
"GPR157",0.961,1.52,3.34,0.00123,0.134,"None","80045","G protein-coupled receptor 157","NS",2.9100948885606
"SLC6A4",1.19,3.05,3.33,0.00125,0.134,"None","6532","solute carrier family 6 member 4","NS",2.90308998699194
"SCD5",-0.688,7.66,-3.33,0.00125,0.134,"Endocrine","79966","stearoyl-CoA desaturase 5","NS",2.90308998699194
"NT5DC2",-0.751,5.84,-3.33,0.00126,0.134,"None","64943","5'-nucleotidase domain containing 2","NS",2.89962945488244
"PPM1E",-0.75,5.14,-3.32,0.00128,0.135,"None","22843","protein phosphatase, Mg2+/Mn2+ dependent 1E","NS",2.89279003035213
"DDTL",-1.31,-0.612,-3.32,0.00129,0.135,"None","100037417","D-dopachrome tautomerase like","NS",2.88941028970075
"AP3S1",0.492,4.73,3.31,0.00132,0.137,"Non-endocrine","1176","adaptor related protein complex 3 subunit sigma 1","NS",2.87942606879415
"SFTPC",-0.95,-1.36,-3.32,0.00132,0.137,"None","6440","surfactant protein C","NS",2.87942606879415
"ECM1",-0.849,2.3,-3.31,0.00135,0.138,"None","1893","extracellular matrix protein 1","NS",2.86966623150499
"MCL1",0.497,9.25,3.3,0.00136,0.138,"Non-endocrine","4170","MCL1 apoptosis regulator, BCL2 family member","NS",2.86646109162978
"GMPPB",-0.524,5.52,-3.3,0.00137,0.138,"None","29925","GDP-mannose pyrophosphorylase B","NS",2.86327943284359
"SLC2A2",-1.16,3.47,-3.3,0.00137,0.138,"None","6514","solute carrier family 2 member 2","NS",2.86327943284359
"UNC5D",-1.06,2.77,-3.29,0.00143,0.143,"Endocrine","137970","unc-5 netrin receptor D","NS",2.84466396253494
"NBPF7",1.05,-2.53,3.4,0.00144,0.143,"None","343505","NBPF member 7","NS",2.84163750790475
"CABP7",-0.757,5.78,-3.28,0.00147,0.143,"Endocrine","164633","calcium binding protein 7","NS",2.83268266525182
"PCSK1",-0.804,8.93,-3.28,0.00148,0.143,"None","5122","proprotein convertase subtilisin/kexin type 1","NS",2.82973828460504
"ID2",0.547,5.43,3.27,0.0015,0.143,"Non-endocrine","3398","inhibitor of DNA binding 2","NS",2.82390874094432
"ADRB1",0.751,1.41,3.27,0.00151,0.143,"None","153","adrenoceptor beta 1","NS",2.82102305270683
"C20orf197",-0.947,-1.49,-3.29,0.00152,0.143,"None","284756","chromosome 20 putative open reading frame 197","NS",2.81815641205523
"LFNG",1.57,1.82,3.27,0.00152,0.143,"Non-endocrine","3955","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","NS",2.81815641205523
"PFN2",-0.444,8.18,-3.27,0.00152,0.143,"Endocrine","5217","profilin 2","NS",2.81815641205523
"SHCBP1",-1.3,-0.621,-3.28,0.00152,0.143,"None","79801","SHC binding and spindle associated 1","NS",2.81815641205523
"AFAP1-AS1",1.24,-1.42,3.28,0.00153,0.143,"None","84740","AFAP1 antisense RNA 1","NS",2.8153085691824
"CFAP206",-0.928,-1.24,-3.27,0.00156,0.145,"None","154313","cilia and flagella associated protein 206","NS",2.80687540164554
"CDS1",0.433,4.04,3.26,0.00158,0.145,"None","1040","CDP-diacylglycerol synthase 1","NS",2.80134291304558
"SLC39A8",0.547,5.34,3.26,0.00158,0.145,"None","64116","solute carrier family 39 member 8","NS",2.80134291304558
"RAB40C",0.467,4.82,3.25,0.0016,0.145,"Non-endocrine","57799","RAB40C, member RAS oncogene family","NS",2.79588001734407
"DYNC1I1",-0.494,5.21,-3.25,0.00162,0.145,"Endocrine","1780","dynein cytoplasmic 1 intermediate chain 1","NS",2.79048498545737
"UNC5A",-1.63,4.15,-3.25,0.00163,0.145,"None","90249","unc-5 netrin receptor A","NS",2.78781239559604
"GALNT7",0.564,4.02,3.25,0.00164,0.145,"Non-endocrine","51809","polypeptide N-acetylgalactosaminyltransferase 7","NS",2.7851561519523
"SYT1",1.07,2.19,3.24,0.00164,0.145,"None","6857","synaptotagmin 1","NS",2.7851561519523
"CDH22",-0.725,6.15,-3.24,0.00166,0.146,"Endocrine","64405","cadherin 22","NS",2.77989191195995
"TPD52",-0.441,8.04,-3.24,0.00167,0.146,"None","7163","tumor protein D52","NS",2.77728352885242
"EPHB4",0.773,3.67,3.24,0.00168,0.147,"Non-endocrine","2050","EPH receptor B4","NS",2.77469071827414
"EEF1AKMT3",0.533,3.21,3.23,0.00172,0.147,"Non-endocrine","25895","EEF1A lysine methyltransferase 3","NS",2.76447155309245
"HAUS4",0.555,2.57,3.23,0.00172,0.147,"None","54930","HAUS augmin like complex subunit 4","NS",2.76447155309245
"H2AC15",-0.913,-1.03,-3.56,0.00175,0.147,"None","8330","H2A clustered histone 15","NS",2.75696195131371
"ALDOC",-0.587,3.63,-3.22,0.00176,0.147,"Endocrine","230","aldolase, fructose-bisphosphate C","NS",2.75448733218585
"ASCL2",-0.97,3.26,-3.22,0.00176,0.147,"None","430","achaete-scute family bHLH transcription factor 2","NS",2.75448733218585
"REEP1",0.626,3.69,3.22,0.00176,0.147,"None","65055","receptor accessory protein 1","NS",2.75448733218585
"INS",-0.883,14.6,-3.22,0.00178,0.147,"None","3630","insulin","NS",2.74957999769111
"C5AR1",-0.787,3.23,-3.22,0.00179,0.147,"None","728","complement C5a receptor 1","NS",2.74714696902011
"SYCP2L",0.938,-1.19,3.23,0.0018,0.147,"None","221711","synaptonemal complex protein 2 like","NS",2.74472749489669
"TVP23B",-0.446,6.33,-3.21,0.0018,0.147,"None","51030","trans-golgi network vesicle protein 23 homolog B","NS",2.74472749489669
"RHCE",-0.848,1.13,-3.22,0.0018,0.147,"None","6006","Rh blood group CcEe antigens","NS",2.74472749489669
"CSMD3",1.31,-1.31,3.25,0.00182,0.147,"None","114788","CUB and Sushi multiple domains 3","NS",2.73992861201493
"PCDHA3",-0.533,2.88,-3.21,0.00185,0.149,"Endocrine","56145","protocadherin alpha 3","NS",2.73282827159699
"LY86",0.917,-1.79,3.25,0.00185,0.149,"None","9450","lymphocyte antigen 86","NS",2.73282827159699
"TMPRSS6",-0.729,4.43,-3.2,0.00188,0.15,"Endocrine","164656","transmembrane serine protease 6","NS",2.72584215073632
"SEC11C",-0.598,7.97,-3.2,0.00191,0.151,"None","90701","SEC11 homolog C, signal peptidase complex subunit","NS",2.71896663275227
"GPR160",0.851,2.74,3.19,0.00193,0.151,"Non-endocrine","26996","G protein-coupled receptor 160","NS",2.71444269099223
"MYC",0.747,5.25,3.19,0.00194,0.151,"Non-endocrine","4609","MYC proto-oncogene, bHLH transcription factor","NS",2.71219827006977
"SGSM2",-0.375,6.91,-3.19,0.00194,0.151,"Endocrine","9905","small G protein signaling modulator 2","NS",2.71219827006977
"DKK4",-0.937,0.152,-3.19,0.00195,0.151,"None","27121","dickkopf WNT signaling pathway inhibitor 4","NS",2.70996538863748
"ZBTB18",0.525,4.37,3.18,0.00198,0.151,"None","10472","zinc finger and BTB domain containing 18","NS",2.70333480973847
"GPR183",1.1,1.96,3.18,0.00198,0.151,"None","1880","G protein-coupled receptor 183","NS",2.70333480973847
"MTUS1",0.673,5.93,3.18,0.00198,0.151,"Non-endocrine","57509","microtubule associated scaffold protein 1","NS",2.70333480973847
"TMEM158",-0.808,3.5,-3.18,0.002,0.152,"None","25907","transmembrane protein 158 (gene/pseudogene)","NS",2.69897000433602
"PAM",-0.626,10.2,-3.17,0.00205,0.153,"None","5066","peptidylglycine alpha-amidating monooxygenase","NS",2.68824613894425
"EMC9",-0.449,3.47,-3.17,0.00205,0.153,"None","51016","ER membrane protein complex subunit 9","NS",2.68824613894425
"RGS8",0.964,-1.47,3.18,0.00205,0.153,"None","85397","regulator of G protein signaling 8","NS",2.68824613894425
"NPFFR2",1.51,-1.57,3.24,0.00208,0.154,"None","10886","neuropeptide FF receptor 2","NS",2.68193666503724
"TNFRSF10C",0.959,0.125,3.17,0.00209,0.154,"None","8794","TNF receptor superfamily member 10c","NS",2.67985371388895
"FFAR4",-1.05,3.13,-3.16,0.00215,0.158,"Endocrine","338557","free fatty acid receptor 4","NS",2.66756154008439
"SLC52A2",-0.44,4.5,-3.15,0.00218,0.159,"None","79581","solute carrier family 52 member 2","NS",2.66154350639539
"LAPTM5",0.745,2.58,3.15,0.00222,0.161,"Non-endocrine","7805","lysosomal protein transmembrane 5","NS",2.65364702554936
"APBA2",1.13,1.06,3.15,0.00223,0.161,"Non-endocrine","321","amyloid beta precursor protein binding family A member 2","NS",2.65169513695184
"LINC02356",0.907,-2.09,3.18,0.00227,0.163,"None","105369984","long intergenic non-protein coding RNA 2356","NS",2.64397414280688
"MAPRE3",-0.432,6.82,-3.14,0.00227,0.163,"Endocrine","22924","microtubule associated protein RP/EB family member 3","NS",2.64397414280688
"ARHGAP32",0.46,5.21,3.14,0.00229,0.163,"None","9743","Rho GTPase activating protein 32","NS",2.64016451766011
"KAZN",0.645,2.27,3.13,0.00231,0.163,"None","23254","kazrin, periplakin interacting protein","NS",2.63638802010786
"ADGRE2",0.97,-0.686,3.14,0.00234,0.163,"None","30817","adhesion G protein-coupled receptor E2","NS",2.63078414258986
"C1orf189",-0.931,-1.78,-3.15,0.00234,0.163,"None","388701","chromosome 1 open reading frame 189","NS",2.63078414258986
"PFKFB2",-0.666,8.25,-3.13,0.00234,0.163,"Endocrine","5208","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","NS",2.63078414258986
"TCTA",-0.431,6.09,-3.13,0.00235,0.163,"None","6988","T cell leukemia translocation altered","NS",2.62893213772826
"TCIRG1",0.856,5.07,3.13,0.00237,0.163,"Non-endocrine","10312","T cell immune regulator 1, ATPase H+ transporting V0 subunit a3","NS",2.6252516539899
"DUSP6",0.508,4.5,3.13,0.00237,0.163,"Non-endocrine","1848","dual specificity phosphatase 6","NS",2.6252516539899
"PBX1",0.454,6.5,3.13,0.00237,0.163,"None","5087","PBX homeobox 1","NS",2.6252516539899
"NSG1",-0.928,4.63,-3.12,0.00241,0.163,"Endocrine","27065","neuronal vesicle trafficking associated 1","NS",2.61798295742513
"SPHKAP",1.37,-0.594,3.13,0.00241,0.163,"None","80309","SPHK1 interactor, AKAP domain containing","NS",2.61798295742513
"PRIMA1",1.26,-0.441,3.12,0.00242,0.163,"None","145270","proline rich membrane anchor 1","NS",2.61618463401957
"NFE2L1",-0.517,8.6,-3.12,0.00243,0.163,"Endocrine","4779","nuclear factor, erythroid 2 like 1","NS",2.61439372640169
"SCG3",-0.572,9.29,-3.12,0.00244,0.163,"Endocrine","29106","secretogranin III","NS",2.61261017366127
"ITIH2",1.06,-1.78,3.13,0.00245,0.164,"None","3698","inter-alpha-trypsin inhibitor heavy chain 2","NS",2.61083391563547
"PPDPF",-0.484,6.93,-3.11,0.0025,0.166,"None","79144","pancreatic progenitor cell differentiation and proliferation factor","NS",2.60205999132796
"KCTD15",0.761,3.1,3.11,0.00252,0.167,"Non-endocrine","79047","potassium channel tetramerization domain containing 15","NS",2.59859945921846
"HYOU1",-0.563,8.38,-3.1,0.00258,0.169,"None","10525","hypoxia up-regulated 1","NS",2.58838029403677
"CALHM6",1.27,-1.28,3.12,0.00259,0.169,"None","441168","calcium homeostasis modulator family member 6","NS",2.58670023591875
