"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"OCRL",4.43,1.85,6.38,2.55e-09,2.13e-07,"None","4952","OCRL inositol polyphosphate-5-phosphatase","up",8.59345981956604
"ALG2",-3.03,1.32,-6.38,2.6e-09,2.13e-07,"None","85365","ALG2 alpha-1,3/1,6-mannosyltransferase","down",8.58502665202918
"PPP1R3E",6.48,-0.108,6.38,2.6e-09,2.13e-07,"None","90673","protein phosphatase 1 regulatory subunit 3E","up",8.58502665202918
"VGF",13,4.18,6.37,2.73e-09,2.2e-07,"None","7425","VGF nerve growth factor inducible","up",8.56383735295924
"TUBB2A",-5.47,3.13,-6.35,3e-09,2.39e-07,"None","7280","tubulin beta 2A class IIa","down",8.52287874528034
"IGFBP2",8.44,0.72,6.3,3.9e-09,3.07e-07,"Non-endocrine","3485","insulin like growth factor binding protein 2","up",8.4089353929735
"SMPD2",4.56,-1.46,6.29,4.02e-09,3.12e-07,"--","6610","sphingomyelin phosphodiesterase 2","up",8.39577394691553
"ARHGAP1",3.96,3.22,6.26,4.71e-09,3.61e-07,"--","392","Rho GTPase activating protein 1","up",8.3269790928711
"GNAI1",4.53,1.44,6.22,5.66e-09,4.29e-07,"None","2770","G protein subunit alpha i1","up",8.24718356881173
"FCGRT",6.37,-1.07,6.2,6.24e-09,4.67e-07,"None","2217","Fc fragment of IgG receptor and transporter","up",8.20481541031758
"MARS2",-2.92,-0.22,-6.15,8.02e-09,5.93e-07,"None","92935","methionyl-tRNA synthetase 2, mitochondrial","down",8.09582563171584
"CRIP2",5.31,2.53,6.15,8.12e-09,5.93e-07,"None","1397","cysteine rich protein 2","up",8.09044397075882
"ATP2B1",3.05,2.17,6.1,1.01e-08,7.32e-07,"--","490","ATPase plasma membrane Ca2+ transporting 1","up",7.99567862621736
"ARL15",4.45,0.684,6.07,1.18e-08,8.42e-07,"None","54622","ADP ribosylation factor like GTPase 15","up",7.92811799269387
"AGT",11.1,0.223,6.07,1.21e-08,8.56e-07,"None","183","angiotensinogen","up",7.91721462968355
"DYM",-3.23,-0.0177,-6.07,1.23e-08,8.56e-07,"Non-endocrine","54808","dymeclin","down",7.9100948885606
"SMARCA1",3.51,0.805,6.06,1.25e-08,8.64e-07,"None","6594","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1","up",7.90308998699194
"SYNPO",4.2,0.841,6.05,1.35e-08,9.21e-07,"None","11346","synaptopodin","up",7.86966623150499
"ATP2B4",2.88,1.54,6.04,1.37e-08,9.26e-07,"None","493","ATPase plasma membrane Ca2+ transporting 4","up",7.86327943284359
"TMED8",4.32,0.799,6.03,1.43e-08,9.47e-07,"None","283578","transmembrane p24 trafficking protein family member 8","up",7.84466396253494
"PIGT",2.97,0.811,6.03,1.43e-08,9.47e-07,"--","51604","phosphatidylinositol glycan anchor biosynthesis class T","up",7.84466396253494
"SSTR2",5.52,-0.889,6.02,1.56e-08,1.02e-06,"None","6752","somatostatin receptor 2","up",7.80687540164554
"CPOX",3.33,0.138,6.01,1.59e-08,1.03e-06,"None","1371","coproporphyrinogen oxidase","up",7.79860287567955
"ACADSB",-3.79,2.63,-6,1.67e-08,1.07e-06,"None","36","acyl-CoA dehydrogenase short/branched chain","down",7.77728352885242
"SPINT2",5.13,0.576,5.98,1.88e-08,1.19e-06,"--","10653","serine peptidase inhibitor, Kunitz type 2","up",7.72584215073632
"B2M",6.76,2.44,5.97,1.96e-08,1.23e-06,"None","567","beta-2-microglobulin","up",7.70774392864352
"ALDH1A1",5.1,6.63,5.96,2.09e-08,1.28e-06,"None","216","aldehyde dehydrogenase 1 family member A1","up",7.67985371388895
"APOH",8.11,1.92,5.95,2.11e-08,1.28e-06,"None","350","apolipoprotein H","up",7.67571754470231
"MUC13",11.5,1.31,5.95,2.11e-08,1.28e-06,"None","56667","mucin 13, cell surface associated","up",7.67571754470231
"COTL1",5.4,2.47,5.95,2.12e-08,1.28e-06,"None","23406","coactosin like F-actin binding protein 1","up",7.67366413907125
"ARX",5.86,-1.1,5.95,2.17e-08,1.29e-06,"None","170302","aristaless related homeobox","up",7.66354026615147
"ERICH5",-4.83,0.308,-5.93,2.35e-08,1.38e-06,"None","203111","glutamate rich 5","down",7.62893213772826
"ABAT",-3.88,4.26,-5.91,2.62e-08,1.53e-06,"None","18","4-aminobutyrate aminotransferase","down",7.58169870868025
"P4HTM",5.99,-0.572,5.9,2.68e-08,1.55e-06,"--","54681","prolyl 4-hydroxylase, transmembrane","up",7.57186520597121
"MACROH2A2",5.09,3.5,5.88,2.96e-08,1.7e-06,"None","55506","macroH2A.2 histone","up",7.52870828894106
"PLOD3",2.96,1.63,5.88,3.01e-08,1.71e-06,"--","8985","procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","up",7.52143350440616
"SLC33A1",-3.02,0.929,-5.8,4.42e-08,2.49e-06,"None","9197","solute carrier family 33 member 1","down",7.35457773065091
"OGFOD3",4.78,-0.201,5.78,4.77e-08,2.66e-06,"--","79701","2-oxoglutarate and iron dependent oxygenase domain containing 3","up",7.32148162095989
"SERPINE2",6.21,1.31,5.74,5.78e-08,3.2e-06,"None","5270","serpin family E member 2","up",7.23807216157947
"MOB1B",4.18,1.63,5.69,7.53e-08,4.12e-06,"None","92597","MOB kinase activator 1B","up",7.1232050237993
"ITFG1",4.76,1.4,5.67,8.19e-08,4.45e-06,"--","81533","integrin alpha FG-GAP repeat containing 1","up",7.08671609823958
"UBA5",-3.16,1.65,-5.64,9.45e-08,5.09e-06,"--","79876","ubiquitin like modifier activating enzyme 5","down",7.02456819149074
"ARFGEF3",4.01,1.02,5.62,1.03e-07,5.5e-06,"None","57221","ARFGEF family member 3","up",6.98716277529483
"SCG5",8.98,3,5.61,1.12e-07,5.9e-06,"None","6447","secretogranin V","up",6.95078197732982
"CPNE8",4.31,-1.44,5.6,1.16e-07,6.05e-06,"None","144402","copine 8","up",6.93554201077308
"PDK3",4.51,2.11,5.6,1.16e-07,6.05e-06,"None","5165","pyruvate dehydrogenase kinase 3","up",6.93554201077308
"CPNE3",2.68,4.26,5.58,1.26e-07,6.49e-06,"--","8895","copine 3","up",6.89962945488244
"NT5C3A",4.58,0.22,5.57,1.34e-07,6.84e-06,"None","51251","5'-nucleotidase, cytosolic IIIA","up",6.87289520163519
"HLA-A",5.2,2.83,5.56,1.36e-07,6.84e-06,"None","3105","major histocompatibility complex, class I, A","up",6.86646109162978
"VIM",5.4,6.07,5.56,1.36e-07,6.84e-06,"None","7431","vimentin","up",6.86646109162978
"AASS",-4.02,-0.322,-5.55,1.46e-07,7.27e-06,"None","10157","aminoadipate-semialdehyde synthase","down",6.83564714421556
"STMN1",6.04,0.811,5.54,1.53e-07,7.56e-06,"None","3925","stathmin 1","up",6.8153085691824
"DBT",-3.04,2.19,-5.52,1.68e-07,8.25e-06,"None","1629","dihydrolipoamide branched chain transacylase E2","down",6.77469071827414
"GPAA1",2.92,0.233,5.5,1.82e-07,8.85e-06,"--","8733","glycosylphosphatidylinositol anchor attachment 1","up",6.73992861201492
"SPART",3.86,-0.0728,5.5,1.86e-07,8.98e-06,"None","23111","spartin","up",6.73048705578208
"KIAA1324",4.08,3.52,5.49,1.93e-07,9.26e-06,"None","57535","KIAA1324","up",6.71444269099223
"MDK",7,-2.14,5.48,2.04e-07,9.69e-06,"None","4192","midkine","up",6.6903698325741
"MVK",3.87,-0.711,5.46,2.22e-07,1.05e-05,"--","4598","mevalonate kinase","up",6.65364702554936
"NAGLU",4.74,0.376,5.45,2.33e-07,1.09e-05,"--","4669","N-acetyl-alpha-glucosaminidase","up",6.63264407897398
"HHATL",-10.7,-0.0829,-5.42,2.6e-07,1.21e-05,"None","57467","hedgehog acyltransferase like","down",6.58502665202918
"HIBADH",-3.45,3.41,-5.42,2.64e-07,1.22e-05,"None","11112","3-hydroxyisobutyrate dehydrogenase","down",6.57839607313017
"BCAT2",-3.12,2.27,-5.41,2.77e-07,1.27e-05,"None","587","branched chain amino acid transaminase 2","down",6.55752023093555
"VLDLR",4.2,-0.42,5.4,2.95e-07,1.34e-05,"--","7436","very low density lipoprotein receptor","up",6.53017798402184
"GCNT1",4.75,-0.579,5.39,2.96e-07,1.34e-05,"None","2650","glucosaminyl (N-acetyl) transferase 1","up",6.52870828894106
"CALB2",-4.91,-1.92,-5.39,2.99e-07,1.34e-05,"None","794","calbindin 2","down",6.52432881167557
"LMCD1",6.23,2.79,5.39,3.04e-07,1.35e-05,"None","29995","LIM and cysteine rich domains 1","up",6.51712641639125
"ADGRG2",6.36,-1.88,5.39,3.07e-07,1.35e-05,"None","10149","adhesion G protein-coupled receptor G2","up",6.51286162452281
"SMPD3",5,-0.973,5.39,3.07e-07,1.35e-05,"None","55512","sphingomyelin phosphodiesterase 3","up",6.51286162452281
"PGM2",-3.29,2.19,-5.37,3.25e-07,1.42e-05,"None","55276","phosphoglucomutase 2","down",6.48811663902113
"B3GAT3",3.78,0.991,5.37,3.36e-07,1.45e-05,"--","26229","beta-1,3-glucuronyltransferase 3","up",6.47366072261016
"PGAP1",4.45,-0.486,5.35,3.56e-07,1.53e-05,"None","80055","post-GPI attachment to proteins inositol deacylase 1","up",6.44855000202713
"PIGS",3.06,-0.0425,5.33,3.93e-07,1.68e-05,"--","94005","phosphatidylinositol glycan anchor biosynthesis class S","up",6.40560744962457
"ARSA",6.64,1.94,5.33,4.03e-07,1.71e-05,"None","410","arylsulfatase A","up",6.39469495385889
"HIGD1A",5.89,1.17,5.32,4.13e-07,1.73e-05,"None","25994","HIG1 hypoxia inducible domain family member 1A","up",6.3840499483436
"COBLL1",-2.77,0.22,-5.32,4.14e-07,1.73e-05,"None","22837","cordon-bleu WH2 repeat protein like 1","down",6.3829996588791
"SLC27A3",3.3,-0.132,5.31,4.27e-07,1.77e-05,"None","11000","solute carrier family 27 member 3","up",6.36957212497498
"SLC38A4",6.92,-1.63,5.28,5.1e-07,2.1e-05,"None","55089","solute carrier family 38 member 4","up",6.29242982390206
"FABP5",6.4,3.42,5.25,5.62e-07,2.3e-05,"None","2171","fatty acid binding protein 5","up",6.25026368443094
"PAFAH1B3",3.1,3.84,5.23,6.33e-07,2.57e-05,"None","5050","platelet activating factor acetylhydrolase 1b catalytic subunit 3","up",6.19859628998265
"SRPRB",-2.91,2.24,-5.21,6.7e-07,2.71e-05,"--","58477","SRP receptor subunit beta","down",6.17392519729917
"ATP9A",5.29,3.05,5.21,6.87e-07,2.75e-05,"--","10079","ATPase phospholipid transporting 9A (putative)","up",6.16304326294045
"PPM1E",-5.87,-0.07,-5.17,8.07e-07,3.22e-05,"None","22843","protein phosphatase, Mg2+/Mn2+ dependent 1E","down",6.09312646527793
"CD63",2.78,4.48,5.16,8.43e-07,3.34e-05,"None","967","CD63 molecule","up",6.07417242537526
"TOR1B",2.87,0.279,5.16,8.48e-07,3.34e-05,"--","27348","torsin family 1 member B","up",6.07160414774329
"PFKP",4.42,1.8,5.16,8.6e-07,3.36e-05,"None","5214","phosphofructokinase, platelet","up",6.06550154875643
"PDLIM2",5.39,0.438,5.14,9.35e-07,3.63e-05,"None","64236","PDZ and LIM domain 2","up",6.02918838912748
"PLD3",4.94,4,5.13,9.85e-07,3.8e-05,"None","23646","phospholipase D family member 3","up",6.00656376950239
"ABCB10",2.55,1.08,5.1,1.1e-06,4.21e-05,"None","23456","ATP binding cassette subfamily B member 10","up",5.95860731484177
"SYT5",5.83,1.75,5.1,1.13e-06,4.31e-05,"None","6861","synaptotagmin 5","up",5.94692155651658
"CCDC86",3.68,0.702,5.09,1.17e-06,4.45e-05,"--","79080","coiled-coil domain containing 86","up",5.93181413825384
"NNMT",7.76,1.75,5.07,1.27e-06,4.79e-05,"None","4837","nicotinamide N-methyltransferase","up",5.89619627904404
"NCOA7",2.99,-1,5.06,1.32e-06,4.92e-05,"Non-endocrine","135112","nuclear receptor coactivator 7","up",5.87942606879415
"C15orf48",5.44,1.2,5.06,1.32e-06,4.92e-05,"None","84419","chromosome 15 open reading frame 48","up",5.87942606879415
"DOCK10",-3.33,-0.329,-5.06,1.34e-06,4.94e-05,"None","55619","dedicator of cytokinesis 10","down",5.87289520163519
"ACAT1",-2.46,4.33,-5.06,1.35e-06,4.96e-05,"--","38","acetyl-CoA acetyltransferase 1","down",5.86966623150499
"MAP7D2",5.01,0.199,5.05,1.38e-06,5.04e-05,"None","256714","MAP7 domain containing 2","up",5.86012091359876
"PPP6R2",3.21,0.479,5.03,1.54e-06,5.61e-05,"--","9701","protein phosphatase 6 regulatory subunit 2","up",5.81247927916354
"GPX3",7.15,0.809,5.03,1.56e-06,5.61e-05,"None","2878","glutathione peroxidase 3","up",5.80687540164554
"POGLUT1",3.04,1.12,5.02,1.57e-06,5.62e-05,"None","56983","protein O-glucosyltransferase 1","up",5.80410034759077
"TBC1D30",-4.94,-2.33,-5.02,1.62e-06,5.8e-05,"None","23329","TBC1 domain family member 30","down",5.79048498545737
"SLC22A17",5.58,-0.951,5.01,1.69e-06,5.99e-05,"None","51310","solute carrier family 22 member 17","up",5.77211329538633
"MCCC1",-3.24,1.77,-5,1.73e-06,6.11e-05,"None","56922","methylcrotonoyl-CoA carboxylase 1","down",5.7619538968712
"QSOX1",3.75,1.58,5,1.76e-06,6.18e-05,"None","5768","quiescin sulfhydryl oxidase 1","up",5.75448733218585
"GFPT1",-2.79,3.85,-4.98,1.9e-06,6.63e-05,"--","2673","glutamine--fructose-6-phosphate transaminase 1","down",5.72124639904717
"FAM210B",3.77,-1.75,4.97,1.96e-06,6.78e-05,"--","116151","family with sequence similarity 210 member B","up",5.70774392864352
"PTPN9",2.48,-0.158,4.96,2.04e-06,7.04e-05,"--","5780","protein tyrosine phosphatase non-receptor type 9","up",5.6903698325741
"MAP3K4",2.47,-0.17,4.95,2.13e-06,7.29e-05,"--","4216","mitogen-activated protein kinase kinase kinase 4","up",5.67162039656126
"SSX2IP",4.5,-1.84,4.95,2.19e-06,7.48e-05,"None","117178","SSX family member 2 interacting protein","up",5.65955588515988
"BSCL2",3.64,0.413,4.94,2.23e-06,7.57e-05,"Endocrine","26580","BSCL2 lipid droplet biogenesis associated, seipin","up",5.65169513695184
"AP3B2",4.68,0.308,4.94,2.28e-06,7.65e-05,"None","8120","adaptor related protein complex 3 subunit beta 2","up",5.64206515299955
"CAMK2B",4.89,0.587,4.94,2.28e-06,7.65e-05,"Endocrine","816","calcium/calmodulin dependent protein kinase II beta","up",5.64206515299955
"TMEM9",4.47,0.256,4.92,2.47e-06,8.24e-05,"--","252839","transmembrane protein 9","up",5.60730304674033
"LCLAT1",2.58,1.56,4.88,2.9e-06,9.62e-05,"None","253558","lysocardiolipin acyltransferase 1","up",5.53760200210104
"DNAJB4",-3.11,-0.505,-4.87,3.03e-06,1e-04,"None","11080","DnaJ heat shock protein family (Hsp40) member B4","down",5.5185573714977
"MACROH2A1",2.98,5.72,4.85,3.39e-06,0.000111,"None","9555","macroH2A.1 histone","up",5.46980030179692
"NOVA1",6.33,0.379,4.84,3.51e-06,0.000115,"None","4857","NOVA alternative splicing regulator 1","up",5.45469288353418
"SIPA1L3",3.83,0.623,4.82,3.72e-06,0.000121,"None","23094","signal induced proliferation associated 1 like 3","up",5.4294570601181
"DLG3",-3.33,-0.259,-4.82,3.74e-06,0.000121,"--","1741","discs large MAGUK scaffold protein 3","down",5.42712839779952
"ALDH4A1",-3.56,1.24,-4.82,3.81e-06,0.000123,"None","8659","aldehyde dehydrogenase 4 family member A1","down",5.41907502432438
"CAMK2D",2.61,3.15,4.81,3.88e-06,0.000124,"--","817","calcium/calmodulin dependent protein kinase II delta","up",5.41116827440579
"SNX3",2.45,2.16,4.81,3.93e-06,0.000125,"--","8724","sorting nexin 3","up",5.40560744962457
"BTD",4.25,-1.68,4.8,4.09e-06,0.000129,"--","686","biotinidase","up",5.38827669199266
"ISOC1",-2.62,2.23,-4.79,4.23e-06,0.000133,"--","51015","isochorismatase domain containing 1","down",5.37365963262496
"H2AZ1",3.63,5.38,4.79,4.37e-06,0.000137,"--","3015","H2A.Z variant histone 1","up",5.35951856302958
"CASTOR2",5.29,-0.79,4.79,4.39e-06,0.000137,"None","729438","cytosolic arginine sensor for mTORC1 subunit 2","up",5.35753547975788
"MICAL1",2.67,0.0896,4.77,4.66e-06,0.000144,"None","64780","microtubule associated monooxygenase, calponin and LIM domain containing 1","up",5.33161408331
"H1-10",4.38,2.27,4.77,4.72e-06,0.000146,"None","8971","H1.10 linker histone","up",5.32605800136591
"MCCC2",-2.33,2,-4.75,5.07e-06,0.000156,"--","64087","methylcrotonoyl-CoA carboxylase 2","down",5.29499204066666
"CACNB2",4.39,-1.97,4.73,5.44e-06,0.000166,"None","783","calcium voltage-gated channel auxiliary subunit beta 2","up",5.26440110030182
"GMPR",-4.78,-1.36,-4.73,5.47e-06,0.000166,"None","2766","guanosine monophosphate reductase","down",5.26201267366657
"LDB1",3.18,-0.455,4.72,5.69e-06,0.000172,"--","8861","LIM domain binding 1","up",5.24488773360493
"ERAP1",4.33,0.969,4.71,6.06e-06,0.000182,"None","51752","endoplasmic reticulum aminopeptidase 1","up",5.21752737583371
"NPDC1",5.67,0.384,4.7,6.18e-06,0.000185,"None","56654","neural proliferation, differentiation and control 1","up",5.20901152491118
"SORT1",3.15,0.811,4.7,6.31e-06,0.000188,"None","6272","sortilin 1","up",5.19997064075587
"HEXA",3.52,1.77,4.7,6.38e-06,0.000189,"--","3073","hexosaminidase subunit alpha","up",5.19517932127884
"SLC25A53",4.32,-0.169,4.69,6.49e-06,0.000191,"None","401612","solute carrier family 25 member 53","up",5.18775530319963
"RAB29",3.37,0.321,4.68,6.72e-06,0.000197,"None","8934","RAB29, member RAS oncogene family","up",5.17263072694618
"CRYBG3",-3.88,-1.69,-4.68,6.77e-06,0.000198,"None","131544","crystallin beta-gamma domain containing 3","down",5.16941133131486
"HM13",-2.7,3.13,-4.67,7.15e-06,0.000208,"None","81502","histocompatibility minor 13","down",5.14569395819892
"TRIM3",2.55,-0.146,4.66,7.34e-06,0.000213,"None","10612","tripartite motif containing 3","up",5.13430394008393
"CTSB",3.74,4.06,4.66,7.38e-06,0.000213,"--","1508","cathepsin B","up",5.13194363817696
"SNCA",4.76,0.14,4.65,7.67e-06,0.00022,"None","6622","synuclein alpha","up",5.11520463605102
"LRPAP1",3.57,1.52,4.64,8.05e-06,0.00023,"--","4043","LDL receptor related protein associated protein 1","up",5.09420411963213
"INA",5.43,1.58,4.64,8.2e-06,0.000233,"Endocrine","9118","internexin neuronal intermediate filament protein alpha","up",5.08618614761628
