"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"EPB41L4A",-20.1,2.4,-3.04,0.00307,0.585,"None","64097","erythrocyte membrane protein band 4.1 like 4A","NS",2.51286162452281
"RYR1",32.3,0.852,3.03,0.00316,0.587,"None","6261","ryanodine receptor 1","NS",2.5003129173816
"ADRB2",-25.6,1.82,-3.02,0.00328,0.587,"None","154","adrenoceptor beta 2","NS",2.48412615628832
"PDZD9",24.1,-2.46,3.03,0.00336,0.587,"None","255762","PDZ domain containing 9","NS",2.47366072261016
"LGR5",29.1,-0.71,3.01,0.00338,0.587,"None","8549","leucine rich repeat containing G protein-coupled receptor 5","NS",2.47108329972235
"ADAD2",-36.3,-2.02,-3.03,0.00339,0.587,"None","161931","adenosine deaminase domain containing 2","NS",2.46980030179692
"CASTOR2",19.1,5.66,3.01,0.0034,0.587,"None","729438","cytosolic arginine sensor for mTORC1 subunit 2","NS",2.46852108295775
"DRC3",18,3.54,3,0.00342,0.587,"None","83450","dynein regulatory complex subunit 3","NS",2.46597389394387
"DNAI2",30.9,-0.291,3,0.00343,0.587,"None","64446","dynein axonemal intermediate chain 2","NS",2.46470587995723
"RNF186",-39.4,1.26,-3,0.00345,0.587,"Non-endocrine","54546","ring finger protein 186","NS",2.46218090492673
"KCNH3",22.4,2.28,2.99,0.00359,0.587,"Endocrine","23416","potassium voltage-gated channel subfamily H member 3","NS",2.44490555142168
"TMEM236",-36.1,3.47,-2.99,0.00359,0.587,"None","653567","transmembrane protein 236","NS",2.44490555142168
"PDZK1",-29.4,4.09,-2.99,0.00361,0.587,"None","5174","PDZ domain containing 1","NS",2.44249279809434
"FIGLA",36.5,-1.88,3.18,0.00365,0.587,"None","344018","folliculogenesis specific bHLH transcription factor","NS",2.43770713554353
"CAMK4",29.1,0.205,2.98,0.00369,0.587,"None","814","calcium/calmodulin dependent protein kinase IV","NS",2.43297363384094
"RNF175",26.7,-2.5,3.03,0.00377,0.587,"None","285533","ring finger protein 175","NS",2.42365864979421
"M1AP",-22.8,-0.513,-2.97,0.00381,0.587,"None","130951","meiosis 1 associated protein","NS",2.41907502432438
"CAPSL",32.5,0.959,2.96,0.00385,0.587,"None","133690","calcyphosine like","NS",2.4145392704915
"NTS",47.9,-1.55,3,0.00385,0.587,"None","4922","neurotensin","NS",2.4145392704915
"IGFL2",24.3,-1.74,2.97,0.00388,0.587,"None","147920","IGF like family member 2","NS",2.41116827440579
"ADGRG2",-27.2,4.29,-2.96,0.00395,0.587,"None","10149","adhesion G protein-coupled receptor G2","NS",2.40340290437354
"ALDH1A1",-18.6,8.96,-2.95,0.00402,0.587,"None","216","aldehyde dehydrogenase 1 family member A1","NS",2.39577394691553
"HGFAC",33.4,-1.19,2.95,0.00409,0.587,"None","3083","HGF activator","NS",2.38827669199266
"H3C13",30,-1.79,2.96,0.00409,0.587,"None","653604","H3 clustered histone 13","NS",2.38827669199266
"FABP7",29.1,-2.08,2.97,0.0041,0.587,"None","2173","fatty acid binding protein 7","NS",2.38721614328026
"KRTAP11-1",-42.2,-2.35,-3.19,0.0041,0.587,"None","337880","keratin associated protein 11-1","NS",2.38721614328026
"ACTL7A",32.3,-1.55,2.98,0.00421,0.594,"None","10881","actin like 7A","NS",2.37571790416433
"PAH",-37,2.62,-2.93,0.00426,0.594,"None","5053","phenylalanine hydroxylase","NS",2.37059040089728
"ADORA1",-43.1,1.23,-2.93,0.00427,0.594,"Non-endocrine","134","adenosine A1 receptor","NS",2.36957212497498
"ST8SIA1",-30.9,1.58,-2.92,0.00437,0.6,"Non-endocrine","6489","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1","NS",2.35951856302958
"ZNF541",35.7,-0.354,2.92,0.0044,0.6,"None","84215","zinc finger protein 541","NS",2.35654732351381
"NRTN",29.5,2.65,2.91,0.0045,0.6,"None","4902","neurturin","NS",2.34678748622466
"ZNF239",-20.7,1.5,-2.91,0.00454,0.6,"None","8187","zinc finger protein 239","NS",2.3429441471429
"C1QTNF9B",24.2,-2.27,2.94,0.00457,0.6,"None","387911","C1q and TNF related 9B","NS",2.34008379993015
"NT5DC2",21.7,5.84,2.91,0.00457,0.6,"None","64943","5'-nucleotidase domain containing 2","NS",2.34008379993015
"SALL1",31,0.471,2.9,0.00472,0.607,"None","6299","spalt like transcription factor 1","NS",2.32605800136591
"AK4",22,2.89,2.89,0.00477,0.607,"None","205","adenylate kinase 4","NS",2.32148162095989
"NPIPB4",23.4,3.33,2.89,0.00477,0.607,"None","440345","nuclear pore complex interacting protein family member B4","NS",2.32148162095989
"SHCBP1",37.2,-0.621,2.89,0.00487,0.607,"None","79801","SHC binding and spindle associated 1","NS",2.31247103878537
"PNMT",52.9,2.26,2.88,0.00488,0.607,"None","5409","phenylethanolamine N-methyltransferase","NS",2.31158017799729
"UFD1",15.3,5.98,2.88,0.00488,0.607,"None","7353","ubiquitin recognition factor in ER associated degradation 1","NS",2.31158017799729
"LFNG",-47.7,1.82,-2.87,0.00501,0.611,"Non-endocrine","3955","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","NS",2.30016227413275
"KLRG2",32.5,-1.1,2.88,0.00506,0.611,"None","346689","killer cell lectin like receptor G2","NS",2.2958494831602
"LMO2",22.4,5.61,2.87,0.00506,0.611,"None","4005","LIM domain only 2","NS",2.2958494831602
"EOLA2",13.5,4.69,2.86,0.0052,0.611,"None","541578","endothelium and lymphocyte associated ASCH domain 2","NS",2.2839966563652
"TPBGL",27.7,0.187,2.86,0.00528,0.611,"None","100507050","trophoblast glycoprotein like","NS",2.27736607746619
"UBQLN4",-13.8,4.27,-2.86,0.00528,0.611,"Non-endocrine","56893","ubiquilin 4","NS",2.27736607746619
"RPH3A",-46.4,0.469,-2.86,0.00529,0.611,"None","22895","rabphilin 3A","NS",2.27654432796481
"CADM2",29.2,1.22,2.86,0.00531,0.611,"None","253559","cell adhesion molecule 2","NS",2.27490547891853
"CCDC198",-27.3,4.84,-2.85,0.00532,0.611,"None","55195","coiled-coil domain containing 198","NS",2.27408836770495
"GJA3",-48.1,0.546,-2.85,0.00534,0.611,"None","2700","gap junction protein alpha 3","NS",2.27245874297144
"PRG4",33.6,4.34,2.85,0.00541,0.614,"None","10216","proteoglycan 4","NS",2.26680273489343
"DIRAS3",18.8,5.29,2.83,0.00563,0.633,"None","9077","DIRAS family GTPase 3","NS",2.24949160514865
"PHOX2A",37,-1.98,2.91,0.00571,0.633,"None","401","paired like homeobox 2A","NS",2.24336389175415
"DEGS2",-23.2,1.19,-2.83,0.00575,0.633,"None","123099","delta 4-desaturase, sphingolipid 2","NS",2.24033215531037
"CRH",-28.8,4.6,-2.83,0.00575,0.633,"Non-endocrine","1392","corticotropin releasing hormone","NS",2.24033215531037
"ABHD15",-16.4,4.94,-2.81,0.00608,0.661,"None","116236","abhydrolase domain containing 15","NS",2.21609642072726
"NTNG1",26.7,1.02,2.8,0.00618,0.661,"None","22854","netrin G1","NS",2.20901152491118
"LY6G6C",38.8,-0.0728,2.8,0.0062,0.661,"None","80740","lymphocyte antigen 6 family member G6C","NS",2.20760831050175
"PPM1K",-15.4,6.1,-2.8,0.00625,0.661,"None","152926","protein phosphatase, Mg2+/Mn2+ dependent 1K","NS",2.20411998265592
"F13A1",-50.8,2.01,-2.8,0.00626,0.661,"None","2162","coagulation factor XIII A chain","NS",2.20342566678957
"SERPINF2",28.4,1.77,2.8,0.00629,0.661,"None","5345","serpin family F member 2","NS",2.20134935455473
"GGTA1P",-33.7,-1.34,-2.79,0.00649,0.661,"None","2681","glycoprotein alpha-galactosyltransferase 1, pseudogene","NS",2.18775530319963
"USP35",13.5,4.36,2.78,0.00651,0.661,"None","57558","ubiquitin specific peptidase 35","NS",2.18641901143181
"STK32C",18.6,4.45,2.78,0.00652,0.661,"None","282974","serine/threonine kinase 32C","NS",2.18575240426808
"ASTN1",-24.1,3.26,-2.78,0.00663,0.661,"None","460","astrotactin 1","NS",2.17848647159523
"LTB4R",15.3,3.06,2.78,0.00665,0.661,"None","1241","leukotriene B4 receptor","NS",2.1771783546969
"ADCY9",-13.8,4.73,-2.77,0.00676,0.661,"None","115","adenylate cyclase 9","NS",2.17005330405836
"ZNF256",16.2,3.02,2.77,0.00679,0.661,"None","10172","zinc finger protein 256","NS",2.1681302257195
"ALK",30.3,-0.82,2.77,0.00682,0.661,"None","238","ALK receptor tyrosine kinase","NS",2.16621562534352
"NR0B1",21.6,4.14,2.77,0.00684,0.661,"None","190","nuclear receptor subfamily 0 group B member 1","NS",2.16494389827988
"CCR5",-31.1,-1.85,-2.81,0.00685,0.661,"None","1234","C-C motif chemokine receptor 5 (gene/pseudogene)","NS",2.16430942850757
"HCN2",17.9,3.08,2.76,0.00693,0.661,"None","610","hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2","NS",2.15926676538819
"TYW5",15,4.12,2.76,0.00698,0.661,"None","129450","tRNA-yW synthesizing protein 5","NS",2.15614457737684
"CHST4",-43.2,0.547,-2.76,0.00699,0.661,"None","10164","carbohydrate sulfotransferase 4","NS",2.15552282425432
"LYPD1",-33.1,-0.0703,-2.76,0.007,0.661,"None","116372","LY6/PLAUR domain containing 1","NS",2.15490195998574
"ATP13A5",24.8,-1.91,2.77,0.00704,0.661,"None","344905","ATPase 13A5","NS",2.15242734085789
"CCDC175",29.6,-0.859,2.76,0.00707,0.661,"None","729665","coiled-coil domain containing 175","NS",2.1505805862031
"TENM4",-20.8,4.31,-2.75,0.00716,0.661,"None","26011","teneurin transmembrane protein 4","NS",2.14508697769214
"RNF182",20.4,2.11,2.75,0.00722,0.661,"None","221687","ring finger protein 182","NS",2.14146280243036
"LTF",-38.3,1.41,-2.75,0.00723,0.661,"Non-endocrine","4057","lactotransferrin","NS",2.14086170270547
"ZNF560",34,-2.48,2.82,0.00725,0.661,"None","147741","zinc finger protein 560","NS",2.13966199342901
"H2BC11",27.1,-0.87,2.75,0.00725,0.661,"None","8970","H2B clustered histone 11","NS",2.13966199342901
"ROBO3",-23.7,0.504,-2.74,0.00733,0.663,"None","64221","roundabout guidance receptor 3","NS",2.13489602535887
"NUAK2",-22.4,3.34,-2.74,0.00739,0.663,"None","81788","NUAK family kinase 2","NS",2.13135556160517
"OR2A7",-35.5,0.0827,-2.74,0.00744,0.663,"None","401427","olfactory receptor family 2 subfamily A member 7","NS",2.12842706445412
"CFAP161",34.9,-1.66,2.76,0.00749,0.663,"None","161502","cilia and flagella associated protein 161","NS",2.12551818230053
"ACSM3",-29.6,3.77,-2.73,0.00761,0.663,"Non-endocrine","6296","acyl-CoA synthetase medium chain family member 3","NS",2.11861534322943
"KANSL1L",-15.3,3.87,-2.73,0.00763,0.663,"None","151050","KAT8 regulatory NSL complex subunit 1 like","NS",2.11747546204512
"PLEKHB1",18.7,4.73,2.72,0.00769,0.663,"None","58473","pleckstrin homology domain containing B1","NS",2.11407366019857
"TLN2",-18,2.87,-2.72,0.00775,0.663,"None","83660","talin 2","NS",2.11069829749369
"C4BPA",-47.6,1.46,-2.72,0.00778,0.663,"None","722","complement component 4 binding protein alpha","NS",2.10902040301031
"PIWIL1",25.4,-2.07,2.76,0.00779,0.663,"None","9271","piwi like RNA-mediated gene silencing 1","NS",2.10846254232744
"P2RX2",33.1,2.28,2.72,0.00782,0.663,"None","22953","purinergic receptor P2X 2","NS",2.10679324694015
"TAF1L",36.3,-2.64,2.83,0.00783,0.663,"None","138474","TATA-box binding protein associated factor 1 like","NS",2.10623823794206
"HMGA2-AS1",-43.2,-1.04,-2.73,0.00787,0.663,"None","100129940","HMGA2 antisense RNA 1","NS",2.10402526764094
"PHOX2B",59,-1.75,2.87,0.00793,0.664,"None","8929","paired like homeobox 2B","NS",2.1007268126824
"SLC4A4",-38.3,6.93,-2.71,0.00804,0.666,"Non-endocrine","8671","solute carrier family 4 member 4","NS",2.09474395125155
"CCDC141",-30.9,1.56,-2.71,0.00805,0.666,"Non-endocrine","285025","coiled-coil domain containing 141","NS",2.09420411963213
"GTSE1",37.6,-0.4,2.7,0.0083,0.68,"None","51512","G2 and S-phase expressed 1","NS",2.08092190762393
"UTRN",-19,5.88,-2.69,0.00841,0.68,"None","7402","utrophin","NS",2.07520400420209
"UMODL1",-27.2,-1.78,-2.7,0.00841,0.68,"None","89766","uromodulin like 1","NS",2.07520400420209
"CEACAM21",-24.7,-2.25,-2.72,0.00847,0.68,"None","90273","CEA cell adhesion molecule 21","NS",2.07211658966929
"TIGIT",33.2,-1.21,2.69,0.00852,0.68,"None","201633","T cell immunoreceptor with Ig and ITIM domains","NS",2.0695604052333
"CD209",-40.4,-1.68,-2.72,0.00853,0.68,"Non-endocrine","30835","CD209 molecule","NS",2.06905096883248
"VTRNA1-1",39.4,-2.38,2.74,0.0086,0.68,"None","56664","vault RNA 1-1","NS",2.06550154875643
"NDUFA9",14.9,3.85,2.68,0.00862,0.68,"None","4704","NADH:ubiquinone oxidoreductase subunit A9","NS",2.06449273417529
"QRFP",-18.4,-2.47,-2.7,0.00866,0.68,"None","347148","pyroglutamylated RFamide peptide","NS",2.06248210798265
"PCBD1",-12,5.65,-2.68,0.0087,0.68,"None","5092","pterin-4 alpha-carbinolamine dehydratase 1","NS",2.06048074738138
"ZBTB12",-26,0.69,-2.67,0.00894,0.694,"None","221527","zinc finger and BTB domain containing 12","NS",2.04866248120408
"TPTE2",30,-2.04,2.71,0.009,0.694,"None","93492","transmembrane phosphoinositide 3-phosphatase and tensin homolog 2","NS",2.04575749056068
"UBE2QL1",17.8,4.91,2.66,0.0091,0.694,"None","134111","ubiquitin conjugating enzyme E2 Q family like 1","NS",2.04095860767891
"LAIR2",32.5,-2.47,2.75,0.00916,0.694,"None","3904","leukocyte associated immunoglobulin like receptor 2","NS",2.03810452633215
"ACSS1",-31.9,3.62,-2.66,0.0092,0.694,"Non-endocrine","84532","acyl-CoA synthetase short chain family member 1","NS",2.03621217265444
"PDRG1",18.5,4.18,2.66,0.00925,0.694,"None","81572","p53 and DNA damage regulated 1","NS",2.03385826726097
"GLS",-16.3,7.01,-2.66,0.00928,0.694,"None","2744","glutaminase","NS",2.03245202378114
"CAV1",-19.4,3.72,-2.65,0.00938,0.694,"None","857","caveolin 1","NS",2.02779716162094
"UPK2",29.9,-2.08,2.67,0.00954,0.694,"None","7379","uroplakin 2","NS",2.0204516252959
"INSIG2",-13.4,4.18,-2.65,0.00957,0.694,"Non-endocrine","51141","insulin induced gene 2","NS",2.01908806222316
"GSTCD",-14.7,2.86,-2.64,0.00959,0.694,"None","79807","glutathione S-transferase C-terminal domain containing","NS",2.01818139282934
"LOC105369779",-17.2,2.49,-2.64,0.00963,0.694,"None","105369779","uncharacterized LOC105369779","NS",2.01637371287547
"MITF",-16.4,2.2,-2.64,0.00963,0.694,"Non-endocrine","4286","melanocyte inducing transcription factor","NS",2.01637371287547
"MAPK8IP3",12.9,7.04,2.64,0.00967,0.694,"None","23162","mitogen-activated protein kinase 8 interacting protein 3","NS",2.014573525917
"ARL9",24.9,0.367,2.64,0.00973,0.694,"Endocrine","132946","ADP ribosylation factor like GTPase 9","NS",2.01188715973165
"TAC4",26.5,-1.34,2.66,0.00978,0.694,"None","255061","tachykinin precursor 4","NS",2.0096611452124
"GYG1",13.2,7.07,2.63,0.00989,0.694,"None","2992","glycogenin 1","NS",2.00480370840282
"SEPTIN11",-12.4,5.81,-2.63,0.00991,0.694,"None","55752","septin 11","NS",2.00392634551472
"NARS2",-15.3,3.4,-2.63,0.00994,0.694,"None","79731","asparaginyl-tRNA synthetase 2, mitochondrial","NS",2.00261361560269
"PPFIBP2",-17,3.22,-2.63,0.00999,0.694,"None","8495","PPFIA binding protein 2","NS",2.00043451177402
"EGFR-AS1",29.2,-2.24,2.74,0.0101,0.694,"None","100507500","EGFR antisense RNA 1","NS",1.99567862621736
"CYP2B6",52,-2.61,2.97,0.0101,0.694,"None","1555","cytochrome P450 family 2 subfamily B member 6","NS",1.99567862621736
"CD70",29.4,-2.21,2.69,0.0101,0.694,"None","970","CD70 molecule","NS",1.99567862621736
"PADI2",-32.8,-0.757,-2.62,0.0103,0.694,"Non-endocrine","11240","peptidyl arginine deiminase 2","NS",1.98716277529483
"DCDC2",-19,4.24,-2.62,0.0103,0.694,"Non-endocrine","51473","doublecortin domain containing 2","NS",1.98716277529483
"NSMF",13.3,7.35,2.62,0.0104,0.694,"None","26012","NMDA receptor synaptonuclear signaling and neuronal migration factor","NS",1.98296666070122
"BCHE",24.5,2.16,2.61,0.0104,0.694,"None","590","butyrylcholinesterase","NS",1.98296666070122
"DSG1",65,-2.46,2.86,0.0105,0.694,"None","1828","desmoglein 1","NS",1.97881070093006
"AQP9",36.2,-1.2,2.63,0.0105,0.694,"None","366","aquaporin 9","NS",1.97881070093006
"MT3",24.8,-1.78,2.63,0.0105,0.694,"None","4504","metallothionein 3","NS",1.97881070093006
"CRLF1",27.7,3.31,2.61,0.0105,0.694,"None","9244","cytokine receptor like factor 1","NS",1.97881070093006
"ERBIN",-12.2,5.71,-2.6,0.0107,0.694,"None","55914","erbb2 interacting protein","NS",1.97061622231479
"ITIH5",-21.9,3.49,-2.61,0.0107,0.694,"None","80760","inter-alpha-trypsin inhibitor heavy chain 5","NS",1.97061622231479
"TMEM221",-27.5,-1.92,-2.63,0.0108,0.694,"Non-endocrine","100130519","transmembrane protein 221","NS",1.96657624451305
"PRSS46P",25.5,-0.881,2.6,0.0108,0.694,"None","100287362","serine protease 46, pseudogene","NS",1.96657624451305
"RAD50",-15.2,3.33,-2.6,0.0108,0.694,"None","10111","RAD50 double strand break repair protein","NS",1.96657624451305
"TBX21",29.2,-2.22,2.63,0.0108,0.694,"None","30009","T-box transcription factor 21","NS",1.96657624451305
"ACSF2",-27.1,1.92,-2.6,0.0108,0.694,"None","80221","acyl-CoA synthetase family member 2","NS",1.96657624451305
"MYO18B",-28.2,-0.346,-2.6,0.0108,0.694,"None","84700","myosin XVIIIB","NS",1.96657624451305
"ERICH3",25.2,1.57,2.59,0.011,0.694,"None","127254","glutamate rich 3","NS",1.95860731484178
"EYS",19,1.05,2.59,0.011,0.694,"None","346007","eyes shut homolog","NS",1.95860731484178
"VPS41",-19,5.48,-2.59,0.0111,0.694,"None","27072","VPS41 subunit of HOPS complex","NS",1.95467702121334
"FBXW12",-37,-0.351,-2.59,0.0111,0.694,"None","285231","F-box and WD repeat domain containing 12","NS",1.95467702121334
"PCDHB16",16.4,4.08,2.59,0.0111,0.694,"None","57717","protocadherin beta 16","NS",1.95467702121334
"H2AC15",35.3,-1.03,2.76,0.0111,0.694,"None","8330","H2A clustered histone 15","NS",1.95467702121334
