"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"C1orf127",-10.9,6.93,-4.35,3.54e-05,0.00545,"Endocrine","148345","chromosome 1 open reading frame 127","down",4.45099673797421
"NAT8L",-7.6,5.06,-4.34,3.61e-05,0.00547,"Endocrine","339983","N-acetyltransferase 8 like","down",4.44249279809434
"CHD5",9.72,3.81,4.34,3.63e-05,0.00547,"None","26038","chromodomain helicase DNA binding protein 5","up",4.44009337496389
"RWDD2B",-5.34,4,-4.33,3.71e-05,0.00552,"None","10069","RWD domain containing 2B","down",4.43062609038495
"SIX2",-9.11,4.09,-4.33,3.82e-05,0.00563,"None","10736","SIX homeobox 2","down",4.41793663708829
"MARVELD1",-6.09,4.26,-4.32,3.86e-05,0.00563,"None","83742","MARVEL domain containing 1","down",4.41341269532824
"CLU",6.22,11,4.32,3.9e-05,0.00564,"None","1191","clusterin","up",4.4089353929735
"MGLL",8.72,3.99,4.31,4.04e-05,0.00579,"None","11343","monoglyceride lipase","up",4.3936186348894
"F2",11.4,-1.13,4.3,4.33e-05,0.00608,"None","2147","coagulation factor II, thrombin","up",4.36351210364663
"MTUS2",-7.39,5.84,-4.29,4.34e-05,0.00608,"Endocrine","23281","microtubule associated scaffold protein 2","down",4.36251027048749
"GLI3",10.8,2.9,4.27,4.7e-05,0.00653,"None","2737","GLI family zinc finger 3","up",4.32790214206428
"FEZ1",9.21,2.31,4.26,4.91e-05,0.00671,"None","9638","fasciculation and elongation protein zeta 1","up",4.30891850787703
"CYYR1",-7.97,5.28,-4.26,4.95e-05,0.00671,"None","116159","cysteine and tyrosine rich 1","down",4.30539480106643
"FRMPD3",13.5,2.65,4.25,5.03e-05,0.00671,"None","84443","FERM and PDZ domain containing 3","up",4.29843201494407
"FGFR4",8.39,4.77,4.25,5.06e-05,0.00671,"None","2264","fibroblast growth factor receptor 4","up",4.2958494831602
"NKX6-3",-14.6,2.91,-4.25,5.09e-05,0.00671,"None","157848","NK6 homeobox 3","down",4.29328221766324
"PPP2R2B",10.6,2.94,4.25,5.11e-05,0.00671,"None","5521","protein phosphatase 2 regulatory subunit Bbeta","up",4.29157909986529
"BID",6.91,3.59,4.24,5.28e-05,0.00675,"None","637","BH3 interacting domain death agonist","up",4.27736607746619
"SORBS1",6.16,5.02,4.24,5.33e-05,0.00675,"None","10580","sorbin and SH3 domain containing 1","up",4.27327279097343
"CNIH3",6.81,2.56,4.23,5.37e-05,0.00675,"Non-endocrine","149111","cornichon family AMPA receptor auxiliary protein 3","up",4.27002571430044
"SLC44A4",7,4.46,4.24,5.37e-05,0.00675,"None","80736","solute carrier family 44 member 4","up",4.27002571430044
"WIPF3",6.76,3.1,4.23,5.38e-05,0.00675,"Non-endocrine","644150","WAS/WASL interacting protein family member 3","up",4.26921772433361
"SLC27A2",-6.73,2.41,-4.23,5.48e-05,0.00682,"None","11001","solute carrier family 27 member 2","down",4.26121944151563
"KCNG3",-8.27,4.4,-4.22,5.78e-05,0.00713,"None","170850","potassium voltage-gated channel modifier subfamily G member 3","down",4.23807216157947
"CHL1",-13.4,3.96,-4.2,6.13e-05,0.0074,"None","10752","cell adhesion molecule L1 like","down",4.21253952548158
"PTPRU",-6.68,5.26,-4.2,6.14e-05,0.0074,"None","10076","protein tyrosine phosphatase receptor type U","down",4.21183162885883
"CASR",-9.64,6.45,-4.2,6.19e-05,0.0074,"Endocrine","846","calcium sensing receptor","down",4.20830935097988
"ADCYAP1",-9.56,7.5,-4.2,6.22e-05,0.0074,"Endocrine","116","adenylate cyclase activating polypeptide 1","down",4.20620961530918
"BARD1",11.3,0.773,4.19,6.26e-05,0.0074,"Non-endocrine","580","BRCA1 associated RING domain 1","up",4.20342566678957
"SALL2",-6.41,5.51,-4.17,6.77e-05,0.00794,"Endocrine","6297","spalt like transcription factor 2","down",4.16941133131486
"TMEM176A",7.16,6.04,4.17,6.93e-05,0.00806,"Non-endocrine","55365","transmembrane protein 176A","up",4.15926676538819
"UNC5D",-12.6,2.77,-4.16,7.15e-05,0.00825,"Endocrine","137970","unc-5 netrin receptor D","down",4.14569395819892
"CDHR1",-14.1,1.84,-4.15,7.31e-05,0.00837,"None","92211","cadherin related family member 1","down",4.13608262304214
"SMIM24",10.7,5.77,4.14,7.62e-05,0.00866,"None","284422","small integral membrane protein 24","up",4.1180450286604
"USP27X",7.31,3.89,4.13,7.92e-05,0.00887,"None","389856","ubiquitin specific peptidase 27 X-linked","up",4.10127481841051
"CTNNA3",-11.8,0.824,-4.13,7.94e-05,0.00887,"Endocrine","29119","catenin alpha 3","down",4.1001794975729
"ABCC8",-8.93,9.74,-4.12,8.14e-05,0.00902,"Endocrine","6833","ATP binding cassette subfamily C member 8","down",4.0893755951108
"ACP6",-5.6,4.04,-4.12,8.29e-05,0.00913,"None","51205","acid phosphatase 6, lysophosphatidic","down",4.08144546944973
"TSFM",-6.99,1.01,-4.11,8.68e-05,0.00948,"None","10102","Ts translation elongation factor, mitochondrial","down",4.06148027482351
"SYNPR",-12.3,-2.08,-4.25,8.78e-05,0.00952,"None","132204","synaptoporin","down",4.0565054840939
"MEG3",-8.98,9.7,-4.1,8.89e-05,0.00952,"Endocrine","55384","maternally expressed 3","down",4.05109823902979
"ERMN",-12.8,1.71,-4.1,8.94e-05,0.00952,"None","57471","ermin","down",4.04866248120408
"SNX10",-5.44,4.27,-4.1,8.98e-05,0.00952,"None","29887","sorting nexin 10","down",4.0467236633327
"BCAM",6.43,8.34,4.08,9.4e-05,0.00989,"None","4059","basal cell adhesion molecule (Lutheran blood group)","up",4.0268721464003
"ALOX5",-5.83,4.83,-4.07,9.74e-05,0.0101,"None","240","arachidonate 5-lipoxygenase","down",4.01144104312138
"CRYBA2",10.1,6.97,4.07,9.78e-05,0.0101,"None","1412","crystallin beta A2","up",4.0096611452124
"P2RX6",-9.58,2.43,-4.07,9.99e-05,0.0103,"None","9127","purinergic receptor P2X 6","down",4.00043451177402
"SNTG2",9.63,1.44,4.06,0.000103,0.0105,"None","54221","syntrophin gamma 2","up",3.98716277529483
"KANK1",8.18,4.85,4.05,0.000106,0.0108,"None","23189","KN motif and ankyrin repeat domains 1","up",3.97469413473523
"FAM83B",10.6,2.06,4.04,0.000109,0.0109,"None","222584","family with sequence similarity 83 member B","up",3.96257350205938
"SEMA3E",9.93,3.28,4.04,0.00011,0.011,"None","9723","semaphorin 3E","up",3.95860731484178
"NECTIN3",-5.94,5.47,-4.03,0.000115,0.0114,"Endocrine","25945","nectin cell adhesion molecule 3","down",3.93930215964639
"CABP7",-8.88,5.78,-4.02,0.000117,0.0115,"Endocrine","164633","calcium binding protein 7","down",3.93181413825384
"FXYD6",6.6,5.21,4.02,0.000118,0.0115,"None","53826","FXYD domain containing ion transport regulator 6","up",3.92811799269387
"MIOX",-14,1.04,-4.02,0.000119,0.0116,"None","55586","myo-inositol oxygenase","down",3.92445303860747
"DOCK6",5.8,4.68,4.01,0.000121,0.0117,"None","57572","dedicator of cytokinesis 6","up",3.91721462968355
"ZFPM1",5.58,3.91,4.01,0.000123,0.0118,"Non-endocrine","161882","zinc finger protein, FOG family member 1","up",3.9100948885606
"ASB9",-12.2,5.99,-3.98,0.000137,0.013,"Endocrine","140462","ankyrin repeat and SOCS box containing 9","down",3.86327943284359
"PRKCA",-5.85,5.13,-3.98,0.000138,0.013,"None","5578","protein kinase C alpha","down",3.86012091359876
"HOPX",-8.12,5.66,-3.98,0.000138,0.013,"None","84525","HOP homeobox","down",3.86012091359876
"PFKFB2",-8.2,8.25,-3.97,0.000142,0.0133,"Endocrine","5208","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","down",3.84771165561694
"MYO16",8.05,2.18,3.97,0.000143,0.0133,"None","23026","myosin XVI","up",3.84466396253494
"ESR1",-8.35,4.07,-3.96,0.000147,0.0136,"Endocrine","2099","estrogen receptor 1","down",3.83268266525182
"C21orf91",-5.31,4.06,-3.96,0.000148,0.0136,"None","54149","chromosome 21 open reading frame 91","down",3.82973828460504
"ARRB1",8.73,3.39,3.96,0.000149,0.0136,"Non-endocrine","408","arrestin beta 1","up",3.82681373158773
"GABRA2",-17.3,0.123,-3.95,0.000157,0.0142,"None","2555","gamma-aminobutyric acid type A receptor subunit alpha2","down",3.80410034759077
"MEX3B",-7.63,2.76,-3.93,0.000166,0.0149,"Endocrine","84206","mex-3 RNA binding family member B","down",3.77989191195995
"TSPAN14",4.73,5.12,3.92,0.000167,0.015,"Non-endocrine","81619","tetraspanin 14","up",3.77728352885242
"RAB40C",5.38,4.82,3.92,0.000172,0.0153,"Non-endocrine","57799","RAB40C, member RAS oncogene family","up",3.76447155309245
"GLB1L3",11.5,1.12,3.91,0.000174,0.0154,"None","112937","galactosidase beta 1 like 3","up",3.7594507517174
"H2AW",-7.66,2.6,-3.9,0.000181,0.0159,"None","92815","H2A.W histone","down",3.74232142513082
"CARD10",5.87,4.49,3.9,0.000182,0.0159,"None","29775","caspase recruitment domain family member 10","up",3.73992861201493
"TPM4",5.6,7.83,3.89,0.000186,0.0161,"None","7171","tropomyosin 4","up",3.73048705578208
"LUZP1",6.61,5.14,3.89,0.00019,0.0163,"None","7798","leucine zipper protein 1","up",3.72124639904717
"ARL16",-5.66,4.96,-3.88,0.000193,0.0165,"Endocrine","339231","ADP ribosylation factor like GTPase 16","down",3.71444269099223
"SNED1",6.27,5.32,3.88,0.000195,0.0166,"None","25992","sushi, nidogen and EGF like domains 1","up",3.70996538863748
"GPC6",8.45,3.98,3.87,0.000203,0.0172,"None","10082","glypican 6","up",3.69250396208679
"RASGRF1",-9.49,6.56,-3.86,0.000206,0.0173,"None","5923","Ras protein specific guanine nucleotide releasing factor 1","down",3.68613277963085
"TUBB2B",-8.09,3.77,-3.86,0.000212,0.0177,"None","347733","tubulin beta 2B class IIb","down",3.67366413907125
"IRS1",7.5,4.75,3.85,0.000214,0.0178,"None","3667","insulin receptor substrate 1","up",3.66958622665081
"PLCB4",-6.9,6.18,-3.85,0.000219,0.018,"Endocrine","5332","phospholipase C beta 4","down",3.65955588515988
"CLIP2",4.49,5.54,3.85,0.000219,0.018,"None","7461","CAP-Gly domain containing linker protein 2","up",3.65955588515988
"ZNF442",5.74,1.56,3.84,0.000221,0.0181,"None","79973","zinc finger protein 442","up",3.65560772631489
"SLC22A4",7.79,1.94,3.84,0.000224,0.0182,"None","6583","solute carrier family 22 member 4","up",3.64975198166584
"LRFN2",-10,3.21,-3.83,0.00023,0.0186,"None","57497","leucine rich repeat and fibronectin type III domain containing 2","down",3.63827216398241
"ITGB1",4.86,8.66,3.82,0.00024,0.0191,"None","3688","integrin subunit beta 1","up",3.61978875828839
"FRMD4B",7.18,4.48,3.82,0.000241,0.0191,"None","23150","FERM domain containing 4B","up",3.61798295742513
"PDE9A",5.96,3.88,3.82,0.000243,0.0191,"None","5152","phosphodiesterase 9A","up",3.61439372640169
"PLXNA1",6.98,4.5,3.82,0.000243,0.0191,"None","5361","plexin A1","up",3.61439372640169
"CPNE8",6.14,3.91,3.82,0.000244,0.0191,"None","144402","copine 8","up",3.61261017366127
"TMEM150C",-9.03,5.01,-3.81,0.000246,0.0192,"None","441027","transmembrane protein 150C","down",3.60906489289662
"SNCB",-9.11,3.41,-3.81,0.000247,0.0192,"None","6620","synuclein beta","down",3.60730304674033
"RGS9BP",-10.5,-2.2,-3.89,0.000253,0.0196,"None","388531","regulator of G protein signaling 9 binding protein","down",3.59687947882418
"RAP1GAP",5.58,7.1,3.8,0.000258,0.0199,"None","5909","RAP1 GTPase activating protein","up",3.58838029403677
"PKIB",-7.08,5.2,-3.79,0.000269,0.0205,"Endocrine","5570","cAMP-dependent protein kinase inhibitor beta","down",3.57024771999759
"FANCF",-5.17,3.92,-3.79,0.00027,0.0205,"None","2188","FA complementation group F","down",3.56863623584101
"PRKAR1B",-5.85,4.57,-3.79,0.000272,0.0206,"Endocrine","5575","protein kinase cAMP-dependent type I regulatory subunit beta","down",3.5654310959658
"ARSA",5.66,5.89,3.78,0.000274,0.0206,"None","410","arylsulfatase A","up",3.56224943717961
"CERS1",9.12,1.46,3.78,0.000278,0.0207,"None","10715","ceramide synthase 1","up",3.55595520408192
"PTH2R",-11.5,0.405,-3.78,0.000278,0.0207,"None","5746","parathyroid hormone 2 receptor","down",3.55595520408192
"PFN2",-4.97,8.18,-3.77,0.000288,0.0213,"Endocrine","5217","profilin 2","down",3.54060751224077
"GLS",6.31,7.01,3.76,0.000293,0.0216,"None","2744","glutaminase","up",3.53313237964589
"SLC46A1",-4.52,4.32,-3.76,0.000297,0.0218,"None","113235","solute carrier family 46 member 1","down",3.52724355068279
"COTL1",5.16,5.61,3.76,3e-04,0.0219,"None","23406","coactosin like F-actin binding protein 1","up",3.52287874528034
"MYCN",-12.4,0.225,-3.76,0.000302,0.0219,"None","4613","MYCN proto-oncogene, bHLH transcription factor","down",3.51999305704285
"OLIG1",-11.6,-0.0584,-3.75,0.000311,0.0225,"Endocrine","116448","oligodendrocyte transcription factor 1","down",3.50723961097316
"GPR157",10.1,1.52,3.74,0.000314,0.0225,"None","80045","G protein-coupled receptor 157","up",3.50307035192679
"TMEM130",-8.27,4.15,-3.74,0.000316,0.0225,"None","222865","transmembrane protein 130","down",3.5003129173816
"TMEM176B",7.21,6.28,3.74,0.000316,0.0225,"Non-endocrine","28959","transmembrane protein 176B","up",3.5003129173816
"TMEM25",-4.55,5.09,-3.74,0.000317,0.0225,"None","84866","transmembrane protein 25","down",3.49894073778225
"CYP2U1",-5.99,5.16,-3.74,0.00032,0.0226,"Endocrine","113612","cytochrome P450 family 2 subfamily U member 1","down",3.49485002168009
"DACH2",-9.37,3.68,-3.73,0.000329,0.0231,"Endocrine","117154","dachshund family transcription factor 2","down",3.48280410205003
"FAM241A",5.99,3.61,3.73,0.000332,0.0232,"None","132720","family with sequence similarity 241 member A","up",3.47886191629596
"RAD51AP2",10.3,-1.44,3.74,0.000338,0.0235,"None","729475","RAD51 associated protein 2","up",3.47108329972235
"NCDN",-5.76,5.02,-3.72,0.00034,0.0235,"None","23154","neurochondrin","down",3.46852108295774
"ASTN1",8.86,3.26,3.72,0.000344,0.0236,"None","460","astrotactin 1","up",3.46344155742847
"IMPA1",4.68,4.96,3.72,0.000345,0.0236,"None","3612","inositol monophosphatase 1","up",3.46218090492673
"INA",-5.63,6.14,-3.71,0.000349,0.0238,"Endocrine","9118","internexin neuronal intermediate filament protein alpha","down",3.45717457304082
"LAMB1",5.49,6.86,3.71,0.000353,0.0239,"Non-endocrine","3912","laminin subunit beta 1","up",3.45222529461218
"TNR",-8.83,4.13,-3.71,0.000355,0.0239,"None","7143","tenascin R","down",3.44977164694491
"USP11",-4.53,6.98,-3.71,0.000355,0.0239,"Endocrine","8237","ubiquitin specific peptidase 11","down",3.44977164694491
"BOC",6.22,4.73,3.7,0.000361,0.0241,"None","91653","BOC cell adhesion associated, oncogene regulated","up",3.44249279809434
"OR10AD1",-12.9,-1.58,-3.76,0.000381,0.0253,"None","121275","olfactory receptor family 10 subfamily AD member 1","down",3.41907502432438
"CYP4F3",14.5,1.95,3.68,0.000389,0.0257,"None","4051","cytochrome P450 family 4 subfamily F member 3","up",3.41005039867429
"KCNK10",10.1,2.15,3.68,0.000392,0.0258,"None","54207","potassium two pore domain channel subfamily K member 10","up",3.40671393297954
"PCSK9",-9.37,3.43,-3.68,0.000393,0.0258,"None","255738","proprotein convertase subtilisin/kexin type 9","down",3.40560744962457
"GPR137B",5.84,3.61,3.68,0.000394,0.0258,"None","7107","G protein-coupled receptor 137B","up",3.40450377817443
"ARHGEF9",-5.95,6.05,-3.67,0.000401,0.026,"Endocrine","23229","Cdc42 guanine nucleotide exchange factor 9","down",3.39685562737982
"CA10",14,0.727,3.67,0.000402,0.026,"None","56934","carbonic anhydrase 10","up",3.39577394691553
"GPER1",8.17,1.69,3.67,0.000404,0.0261,"None","2852","G protein-coupled estrogen receptor 1","up",3.39361863488939
"KLC3",7.67,2.11,3.66,0.000413,0.0265,"None","147700","kinesin light chain 3","up",3.3840499483436
"PRKCE",4.83,5.64,3.66,0.000418,0.0267,"None","5581","protein kinase C epsilon","up",3.37882371822496
