"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"MUC3A",33.6,0.65,3.31,0.00134,0.689,"None","4584","mucin 3A, cell surface associated","NS",2.87289520163519
"KCNG1",40.3,0.875,3.3,0.00139,0.689,"None","3755","potassium voltage-gated channel modifier subfamily G member 1","NS",2.85698519974591
"PKIB",-19.5,5.2,-3.29,0.00141,0.689,"Endocrine","5570","cAMP-dependent protein kinase inhibitor beta","NS",2.85078088734462
"TMEM47",16.2,3.69,3.29,0.00143,0.689,"None","83604","transmembrane protein 47","NS",2.84466396253494
"CXCL17",49.1,1.79,3.28,0.00147,0.689,"Non-endocrine","284340","C-X-C motif chemokine ligand 17","NS",2.83268266525182
"NGFR",23.8,2.83,3.27,0.00151,0.689,"None","4804","nerve growth factor receptor","NS",2.82102305270683
"CAPN13",-27.5,5.8,-3.27,0.00151,0.689,"None","92291","calpain 13","NS",2.82102305270683
"MYO1F",35.8,-0.835,3.26,0.00157,0.689,"None","4542","myosin IF","NS",2.80410034759077
"DSCAM",19.9,3.36,3.25,0.00162,0.689,"None","1826","DS cell adhesion molecule","NS",2.79048498545737
"BRS3",49,0.585,3.22,0.00177,0.689,"Non-endocrine","680","bombesin receptor subtype 3","NS",2.75202673363819
"INPP5J",15.2,2.98,3.21,0.0018,0.689,"None","27124","inositol polyphosphate-5-phosphatase J","NS",2.74472749489669
"HADH",-21.1,8.1,-3.21,0.0018,0.689,"Endocrine","3033","hydroxyacyl-CoA dehydrogenase","NS",2.74472749489669
"ANKRD1",45.1,-0.261,3.22,0.00181,0.689,"None","27063","ankyrin repeat domain 1","NS",2.74232142513082
"KLHL13",24.6,1.58,3.21,0.00184,0.689,"Non-endocrine","90293","kelch like family member 13","NS",2.73518217699046
"ACHE",28.7,2.56,3.2,0.00186,0.689,"None","43","acetylcholinesterase (Cartwright blood group)","NS",2.73048705578208
"ASTN1",24.2,3.26,3.2,0.00188,0.689,"None","460","astrotactin 1","NS",2.72584215073632
"NSG1",-28.7,4.63,-3.19,0.00191,0.689,"Endocrine","27065","neuronal vesicle trafficking associated 1","NS",2.71896663275227
"NECTIN3",-15.1,5.47,-3.18,0.00199,0.689,"Endocrine","25945","nectin cell adhesion molecule 3","NS",2.70114692359029
"FSTL5",28.6,4.2,3.16,0.00216,0.689,"None","56884","follistatin like 5","NS",2.66554624884907
"TRPC6",22.3,0.751,3.15,0.00222,0.689,"None","7225","transient receptor potential cation channel subfamily C member 6","NS",2.65364702554936
"STXBP6",14.8,4.98,3.14,0.00225,0.689,"Non-endocrine","29091","syntaxin binding protein 6","NS",2.64781748188864
"INSYN1",-23.4,5.05,-3.13,0.0023,0.689,"Endocrine","388135","inhibitory synaptic factor 1","NS",2.63827216398241
"PLAC8L1",24.1,-1.48,3.14,0.00232,0.689,"None","153770","PLAC8 like 1","NS",2.6345120151091
"LAPTM5",23.3,2.58,3.13,0.00235,0.689,"Non-endocrine","7805","lysosomal protein transmembrane 5","NS",2.62893213772826
"EREG",33.4,0.759,3.12,0.00238,0.689,"None","2069","epiregulin","NS",2.62342304294349
"ARRB1",22.1,3.39,3.12,0.00241,0.689,"Non-endocrine","408","arrestin beta 1","NS",2.61798295742513
"AHNAK",18.8,7.93,3.12,0.00243,0.689,"None","79026","AHNAK nucleoprotein","NS",2.61439372640169
"HGD",16.9,4.34,3.11,0.00245,0.689,"None","3081","homogentisate 1,2-dioxygenase","NS",2.61083391563547
"TMEM176B",19.1,6.28,3.11,0.00247,0.689,"Non-endocrine","28959","transmembrane protein 176B","NS",2.60730304674033
"CARTPT",54.9,0.589,3.11,0.0025,0.689,"None","9607","CART prepropeptide","NS",2.60205999132796
"SERTM1",38.4,1.71,3.1,0.00255,0.689,"None","400120","serine rich and transmembrane domain containing 1","NS",2.59345981956604
"FAIM2",35.6,1.94,3.09,0.00264,0.689,"None","23017","Fas apoptotic inhibitory molecule 2","NS",2.57839607313017
"CES3",-18.2,1.64,-3.09,0.00265,0.689,"None","23491","carboxylesterase 3","NS",2.57675412606319
"TMEM45B",23.3,3.11,3.09,0.00268,0.689,"Non-endocrine","120224","transmembrane protein 45B","NS",2.57186520597121
"S100A9",46.2,0.14,3.09,0.00275,0.689,"None","6280","S100 calcium binding protein A9","NS",2.56066730616974
"SLITRK1",33.6,0.904,3.07,0.00279,0.689,"Non-endocrine","114798","SLIT and NTRK like family member 1","NS",2.5543957967264
"PPY",43.9,9.52,3.07,0.00279,0.689,"None","5539","pancreatic polypeptide","NS",2.5543957967264
"CRPPA-AS1",-28.6,-2.12,-3.14,0.00306,0.695,"None","100506025","CRPPA antisense RNA 1","NS",2.51427857351842
"TBXAS1",23.9,0.641,3.04,0.00309,0.695,"None","6916","thromboxane A synthase 1","NS",2.51004152057517
"TMEM132C",30.1,1.79,3.04,0.00312,0.695,"None","92293","transmembrane protein 132C","NS",2.50584540598156
"MLPH",20.3,2.95,3.03,0.00314,0.695,"Non-endocrine","79083","melanophilin","NS",2.50307035192679
"THSD7A",27.3,1.91,3.03,0.00317,0.695,"None","221981","thrombospondin type 1 domain containing 7A","NS",2.49894073778225
"FSCN1",19.5,3.52,3.03,0.00318,0.695,"None","6624","fascin actin-bundling protein 1","NS",2.49757288001557
"TMOD4",-31,-0.54,-3.04,0.00329,0.695,"None","29765","tropomodulin 4","NS",2.48280410205003
"OCA2",34.3,-0.364,3.01,0.00334,0.695,"None","4948","OCA2 melanosomal transmembrane protein","NS",2.47625353318844
"FLCN",-16.5,5.28,-3.01,0.00336,0.695,"None","201163","folliculin","NS",2.47366072261016
"KCNK10",26.4,2.15,3,0.00342,0.695,"None","54207","potassium two pore domain channel subfamily K member 10","NS",2.46597389394387
"CCR5",29.5,-1.85,3.05,0.00354,0.695,"None","1234","C-C motif chemokine receptor 5 (gene/pseudogene)","NS",2.45099673797421
"CDH22",-21.4,6.15,-2.99,0.00354,0.695,"Endocrine","64405","cadherin 22","NS",2.45099673797421
"COL4A4",21.9,2.05,2.99,0.00358,0.695,"Non-endocrine","1286","collagen type IV alpha 4 chain","NS",2.44611697335613
"THBS1",21.1,6.99,2.98,0.00367,0.695,"None","7057","thrombospondin 1","NS",2.43533393574791
"COL25A1",28.9,-0.812,2.98,0.00374,0.695,"None","84570","collagen type XXV alpha 1 chain","NS",2.42712839779952
"JADE3",16,3.16,2.97,0.00379,0.695,"Non-endocrine","9767","jade family PHD finger 3","NS",2.42136079003193
"EFCAB1",36.1,-1.15,2.99,0.00384,0.695,"Non-endocrine","79645","EF-hand calcium binding domain 1","NS",2.41566877563247
"DDTL",-32.8,-0.612,-2.97,0.00388,0.695,"None","100037417","D-dopachrome tautomerase like","NS",2.41116827440579
"IL13RA2",37.3,2.05,2.96,0.00388,0.695,"None","3598","interleukin 13 receptor subunit alpha 2","NS",2.41116827440579
"SERPINB3",36.3,-2.61,3.23,0.00389,0.695,"None","6317","serpin family B member 3","NS",2.41005039867429
"TEAD3",18.6,2.67,2.96,0.0039,0.695,"Non-endocrine","7005","TEA domain transcription factor 3","NS",2.4089353929735
"C1QB",51,1.41,2.96,0.00392,0.695,"Non-endocrine","713","complement C1q B chain","NS",2.40671393297954
"PRAG1",20.6,2.36,2.96,0.00393,0.695,"None","157285","PEAK1 related, kinase-activating pseudokinase 1","NS",2.40560744962457
"LIMA1",11.6,5.59,2.95,0.00398,0.695,"None","51474","LIM domain and actin binding 1","NS",2.40011692792631
"KRTAP5-1",-28,-0.445,-2.95,0.00422,0.7,"None","387264","keratin associated protein 5-1","NS",2.37468754903833
"VSTM2A",34.9,1.28,2.93,0.00428,0.7,"None","222008","V-set and transmembrane domain containing 2A","NS",2.36855623098683
"OSR2",25.9,1.5,2.93,0.0043,0.7,"Non-endocrine","116039","odd-skipped related transciption factor 2","NS",2.36653154442041
"RBBP8NL",31.5,-1.35,2.94,0.00434,0.7,"Non-endocrine","140893","RBBP8 N-terminal like","NS",2.36251027048749
"FCGR3A",47,-0.505,2.94,0.00439,0.7,"Non-endocrine","2214","Fc fragment of IgG receptor IIIa","NS",2.35753547975788
"CLDN18",-29.7,0.112,-2.91,0.00448,0.7,"Endocrine","51208","claudin 18","NS",2.34872198600186
"USP27X",16.7,3.89,2.9,0.00459,0.7,"None","389856","ubiquitin specific peptidase 27 X-linked","NS",2.33818731446274
"DUSP26",-14.8,6.15,-2.91,0.00459,0.7,"Endocrine","78986","dual specificity phosphatase 26","NS",2.33818731446274
"CKMT2",22.8,1.07,2.9,0.00461,0.7,"None","1160","creatine kinase, mitochondrial 2","NS",2.33629907461035
"FXYD5",20.3,5.8,2.9,0.00465,0.7,"None","53827","FXYD domain containing ion transport regulator 5","NS",2.33254704711005
"CSGALNACT1",21.9,4.81,2.9,0.00467,0.7,"None","55790","chondroitin sulfate N-acetylgalactosaminyltransferase 1","NS",2.33068311943389
"ZCCHC24",17.3,3.28,2.89,0.00485,0.7,"Non-endocrine","219654","zinc finger CCHC-type containing 24","NS",2.31425826139774
"INS",-23.7,14.6,-2.88,0.00492,0.7,"None","3630","insulin","NS",2.30803489723264
"LOC105370105",-20.9,-1.93,-2.89,0.00497,0.7,"None","105370105","uncharacterized LOC105370105","NS",2.30364361126667
"TAFA4",-26.8,0.101,-2.88,0.00499,0.7,"Endocrine","151647","TAFA chemokine like family member 4","NS",2.30189945437661
"ADGRG2",23.4,4.29,2.87,0.00501,0.7,"None","10149","adhesion G protein-coupled receptor G2","NS",2.30016227413275
"AFAP1",11.4,3.05,2.88,0.00501,0.7,"None","60312","actin filament associated protein 1","NS",2.30016227413275
"LRCH2",16.4,2.98,2.87,0.00503,0.7,"None","57631","leucine rich repeats and calponin homology domain containing 2","NS",2.29843201494407
"GPR61",-27.7,-0.764,-2.87,0.00514,0.7,"None","83873","G protein-coupled receptor 61","NS",2.28903688100472
"MCUB",-18.5,4.91,-2.86,0.00518,0.7,"Endocrine","55013","mitochondrial calcium uniporter dominant negative subunit beta","NS",2.28567024025477
"LINC02844",34,-2.43,3.02,0.00519,0.7,"None","105375679","long intergenic non-protein coding RNA 2844","NS",2.28483264215154
"NPFFR2",39.8,-1.57,2.91,0.0052,0.7,"None","10886","neuropeptide FF receptor 2","NS",2.2839966563652
"GPC6",20.1,3.98,2.85,0.00537,0.7,"None","10082","glypican 6","NS",2.27002571430044
"FHL5",37.9,0.707,2.84,0.00551,0.7,"Non-endocrine","9457","four and a half LIM domains 5","NS",2.25884840114822
"WIPF3",14.8,3.1,2.84,0.00555,0.7,"Non-endocrine","644150","WAS/WASL interacting protein family member 3","NS",2.25570701687732
"AMPH",-17.8,4.82,-2.83,0.00571,0.7,"None","273","amphiphysin","NS",2.24336389175415
"AMH",-26.1,2.68,-2.82,0.0058,0.7,"None","268","anti-Mullerian hormone","NS",2.23657200643706
"RHOU",15.7,4.67,2.82,0.00592,0.7,"Non-endocrine","58480","ras homolog family member U","NS",2.22767829327708
"IL1B",33.7,3.83,2.81,0.00604,0.7,"None","3553","interleukin 1 beta","NS",2.21896306137887
"SYNPO2",18.8,2.79,2.81,0.0061,0.7,"Non-endocrine","171024","synaptopodin 2","NS",2.21467016498923
"EFEMP1",17.2,3.98,2.8,0.00616,0.7,"Non-endocrine","2202","EGF containing fibulin extracellular matrix protein 1","NS",2.21041928783557
"BRIP1",27.4,-1.11,2.8,0.0062,0.7,"None","83990","BRCA1 interacting protein C-terminal helicase 1","NS",2.20760831050175
"PFKFB2",-18.7,8.25,-2.8,0.00626,0.7,"Endocrine","5208","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","NS",2.20342566678957
"PLXNB3",19.4,2.76,2.8,0.0063,0.7,"None","5365","plexin B3","NS",2.20065945054642
"BMF",21.4,3.81,2.79,0.00634,0.7,"None","90427","Bcl2 modifying factor","NS",2.19791074211827
"PIK3R5",20.5,0.624,2.79,0.00637,0.7,"None","23533","phosphoinositide-3-kinase regulatory subunit 5","NS",2.19586056766465
"NAT8L",-16.1,5.06,-2.79,0.00637,0.7,"Endocrine","339983","N-acetyltransferase 8 like","NS",2.19586056766465
"CD163",53,1.69,2.79,0.00639,0.7,"Non-endocrine","9332","CD163 molecule","NS",2.1944991418416
"POLR1A",-13.5,6.15,-2.79,0.00641,0.7,"Endocrine","25885","RNA polymerase I subunit A","NS",2.19314197048118
"STAT4",14.6,3.87,2.79,0.00645,0.7,"None","6775","signal transducer and activator of transcription 4","NS",2.19044028536473
"ATP8A2",29.4,2.01,2.78,0.0065,0.7,"None","51761","ATPase phospholipid transporting 8A2","NS",2.18708664335714
"CD109",25.8,1.7,2.78,0.00654,0.7,"Non-endocrine","135228","CD109 molecule","NS",2.18442225167573
"ZNF667",-19.6,4.01,-2.78,0.00656,0.7,"None","63934","zinc finger protein 667","NS",2.18309616062434
"CNN2",23.2,4.06,2.78,0.00661,0.7,"Non-endocrine","1265","calponin 2","NS",2.17979854051436
"MXRA7",-11.6,8.46,-2.78,0.00662,0.7,"None","439921","matrix remodeling associated 7","NS",2.1791420105603
"RHBDF2",15.1,3.69,2.78,0.00664,0.7,"Non-endocrine","79651","rhomboid 5 homolog 2","NS",2.17783192063198
"LAMA3",17.2,3.19,2.78,0.00665,0.7,"Non-endocrine","3909","laminin subunit alpha 3","NS",2.1771783546969
"FGF1",26.7,0.0822,2.78,0.00669,0.7,"None","2246","fibroblast growth factor 1","NS",2.17457388223218
"ACP7",22.8,-0.396,2.77,0.00676,0.7,"None","390928","acid phosphatase 7, tartrate resistant (putative)","NS",2.17005330405836
"PXK",15.8,4.19,2.77,0.00676,0.7,"None","54899","PX domain containing serine/threonine kinase like","NS",2.17005330405836
"DOK6",22.1,1.01,2.77,0.00683,0.7,"None","220164","docking protein 6","NS",2.16557929631847
"SCD5",-17.9,7.66,-2.77,0.00684,0.7,"Endocrine","79966","stearoyl-CoA desaturase 5","NS",2.16494389827988
"TTYH2",17.9,2.42,2.77,0.00685,0.7,"None","94015","tweety family member 2","NS",2.16430942850757
"ASTN2",25.2,0.996,2.77,0.00686,0.7,"Non-endocrine","23245","astrotactin 2","NS",2.16367588429325
"DPYD",21.7,2.67,2.76,0.00687,0.7,"None","1806","dihydropyrimidine dehydrogenase","NS",2.16304326294045
"ALMS1P1",-19.3,-0.0569,-2.76,0.0069,0.7,"Endocrine","200420","ALMS1 pseudogene 1","NS",2.16115090926274
"FAM183A",-25.1,-0.803,-2.76,0.00694,0.7,"None","440585","family with sequence similarity 183 member A","NS",2.15864052954515
"RBPMS",13.2,4.48,2.76,0.00695,0.7,"Non-endocrine","11030","RNA binding protein, mRNA processing factor","NS",2.15801519540989
"ABRACL",-14.6,3.08,-2.76,0.00695,0.7,"None","58527","ABRA C-terminal like","NS",2.15801519540989
"PSCA",44,-1.01,2.77,0.00704,0.7,"None","8000","prostate stem cell antigen","NS",2.15242734085789
"H2AW",-17.5,2.6,-2.75,0.00707,0.7,"None","92815","H2A.W histone","NS",2.1505805862031
"CSF2RA",28.5,-0.53,2.76,0.00709,0.7,"None","1438","colony stimulating factor 2 receptor subunit alpha","NS",2.14935376481693
"STXBP5L",-15.9,4.91,-2.75,0.00715,0.7,"Endocrine","9515","syntaxin binding protein 5 like","NS",2.14569395819892
"SEMA3E",22,3.28,2.75,0.00718,0.7,"None","9723","semaphorin 3E","NS",2.1438755557577
"MORC4",12.6,3.73,2.74,0.00729,0.7,"Non-endocrine","79710","MORC family CW-type zinc finger 4","NS",2.13727247168203
"ZNF233",-22.1,0.809,-2.74,0.00741,0.7,"None","353355","zinc finger protein 233","NS",2.13018179202067
"KLF4",19.6,6.76,2.73,0.00749,0.7,"None","9314","Kruppel like factor 4","NS",2.12551818230053
"MCEE",-10.8,3.7,-2.73,0.00753,0.7,"None","84693","methylmalonyl-CoA epimerase","NS",2.1232050237993
"IL10RA",20.2,4.16,2.73,0.00757,0.7,"None","3587","interleukin 10 receptor subunit alpha","NS",2.12090412049993
"C19orf18",-16.5,0.831,-2.73,0.00759,0.7,"None","147685","chromosome 19 open reading frame 18","NS",2.11975822410452
"MEG3",-19.5,9.7,-2.73,0.00761,0.7,"Endocrine","55384","maternally expressed 3","NS",2.11861534322943
"RIMS3",20.3,0.392,2.73,0.00767,0.7,"None","9783","regulating synaptic membrane exocytosis 3","NS",2.11520463605102
"KCNK2",23.9,-1.74,2.74,0.00772,0.7,"None","3776","potassium two pore domain channel subfamily K member 2","NS",2.11238269966426
"HNF4A",11.5,5.13,2.72,0.00773,0.7,"None","3172","hepatocyte nuclear factor 4 alpha","NS",2.11182050608168
"GLT1D1",19.6,2.73,2.72,0.00777,0.7,"None","144423","glycosyltransferase 1 domain containing 1","NS",2.10957898119909
"MUC5AC",-51.5,-1.14,-2.75,0.00783,0.7,"None","4586","mucin 5AC, oligomeric mucus/gel-forming","NS",2.10623823794206
"STAC",22,-1.68,2.73,0.00784,0.7,"None","6769","SH3 and cysteine rich domain","NS",2.10568393731556
"BMP8A",21.2,1.8,2.72,0.00787,0.7,"None","353500","bone morphogenetic protein 8a","NS",2.10402526764094
"NTNG2",-22.6,3.52,-2.72,0.00787,0.7,"None","84628","netrin G2","NS",2.10402526764094
"KIF1C",13.5,6.07,2.71,0.00805,0.703,"Non-endocrine","10749","kinesin family member 1C","NS",2.09420411963213
"CHRM3",24.5,2.79,2.71,0.00805,0.703,"None","1131","cholinergic receptor muscarinic 3","NS",2.09420411963213
"NEK6",23.9,2.94,2.7,0.00813,0.703,"Non-endocrine","10783","NIMA related kinase 6","NS",2.08990945440593
"IGSF10",27.1,0.04,2.71,0.00814,0.703,"None","285313","immunoglobulin superfamily member 10","NS",2.0893755951108
"LOC101927943",-15.7,0.687,-2.7,0.00818,0.703,"None","101927943","uncharacterized LOC101927943","NS",2.08724669632868
"MAFA",-24.3,6.84,-2.7,0.0082,0.703,"Endocrine","389692","MAF bZIP transcription factor A","NS",2.08618614761628
"CPEB1",-13.7,2.72,-2.7,0.00829,0.706,"Endocrine","64506","cytoplasmic polyadenylation element binding protein 1","NS",2.08144546944973
"SVEP1",15.2,3.89,2.7,0.00834,0.706,"None","79987","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","NS",2.07883394936226
"NR2F1",15.7,2.84,2.69,0.00841,0.708,"None","7025","nuclear receptor subfamily 2 group F member 1","NS",2.07520400420209
"CT62",-22.1,-2.38,-2.74,0.00849,0.708,"None","196993","cancer/testis associated 62","NS",2.07109230975605
"ASIC1",21.6,0.895,2.69,0.00855,0.708,"None","41","acid sensing ion channel subunit 1","NS",2.06803388527183
"CRAT",13.6,5.43,2.69,0.00856,0.708,"Non-endocrine","1384","carnitine O-acetyltransferase","NS",2.06752623532285
"C1QTNF7",26.5,-0.46,2.68,0.0087,0.714,"None","114905","C1q and TNF related 7","NS",2.06048074738138
"ADCY3",16.3,4.21,2.68,0.00874,0.714,"None","109","adenylate cyclase 3","NS",2.0584885673656
"LCP2",17.8,2.34,2.68,0.00882,0.717,"None","3937","lymphocyte cytosolic protein 2","NS",2.05453141486818
"MAPRE3",-11.5,6.82,-2.67,0.00892,0.718,"Endocrine","22924","microtubule associated protein RP/EB family member 3","NS",2.04963514562388
"SMOC2",16.9,3.5,2.67,0.00893,0.718,"Non-endocrine","64094","SPARC related modular calcium binding 2","NS",2.04914854111145
"COL12A1",16,3.89,2.67,0.009,0.719,"None","1303","collagen type XII alpha 1 chain","NS",2.04575749056068
"DQX1",-23.4,-2.37,-2.7,0.00906,0.72,"None","165545","DEAQ-box RNA dependent ATPase 1","NS",2.04287180232319
"EPHA8",-28.6,3.71,-2.66,0.00911,0.72,"None","2046","EPH receptor A8","NS",2.040481623027
"CCN1",23.6,7.23,2.66,0.00916,0.72,"Non-endocrine","3491","cellular communication network factor 1","NS",2.03810452633215
"OR2A1",-28.5,-1.61,-2.69,0.00921,0.72,"None","346528","olfactory receptor family 2 subfamily A member 1","NS",2.03574036980315
"TREM2",32.9,-1.35,2.67,0.0093,0.724,"Non-endocrine","54209","triggering receptor expressed on myeloid cells 2","NS",2.03151705144606
"ADAMTS17",21.3,1.18,2.65,0.00943,0.728,"Non-endocrine","170691","ADAM metallopeptidase with thrombospondin type 1 motif 17","NS",2.02548830726267
"SCGN",-16.7,9.18,-2.65,0.00946,0.728,"Endocrine","10590","secretagogin, EF-hand calcium binding protein","NS",2.02410886359821
"CHRD",21.9,2.28,2.65,0.00951,0.728,"Non-endocrine","8646","chordin","NS",2.02181948306259
"LGI2",27,1.85,2.64,0.00964,0.732,"Non-endocrine","55203","leucine rich repeat LGI family member 2","NS",2.01592296609717
"ANKRD53",17,2.06,2.64,0.00968,0.732,"None","79998","ankyrin repeat domain 53","NS",2.01412464269161
"SAMD11",-18.8,5.3,-2.64,0.00972,0.732,"Endocrine","148398","sterile alpha motif domain containing 11","NS",2.01233373507373
"PAQR4",24.6,1.08,2.62,0.0102,0.75,"Non-endocrine","124222","progestin and adipoQ receptor family member 4","NS",1.99139982823808
"XDH",-22.4,3.87,-2.62,0.0102,0.75,"None","7498","xanthine dehydrogenase","NS",1.99139982823808
"KIAA0040",13.3,5.54,2.62,0.0102,0.75,"Non-endocrine","9674","KIAA0040","NS",1.99139982823808
"ALX4",-21,-2.32,-2.65,0.0103,0.75,"None","60529","ALX homeobox 4","NS",1.98716277529483
"CRISPLD2",22.1,5.31,2.62,0.0103,0.75,"None","83716","cysteine rich secretory protein LCCL domain containing 2","NS",1.98716277529483
"SORCS1",23.3,0.626,2.61,0.0104,0.75,"Non-endocrine","114815","sortilin related VPS10 domain containing receptor 1","NS",1.98296666070122
"SPDYE17",-30.7,-0.0608,-2.63,0.0105,0.75,"None","102723849","speedy/RINGO cell cycle regulator family member E17","NS",1.97881070093006
"TSKU",17.3,3.05,2.61,0.0105,0.75,"Non-endocrine","25987","tsukushi, small leucine rich proteoglycan","NS",1.97881070093006
"LINGO1",19.5,0.687,2.61,0.0106,0.75,"None","84894","leucine rich repeat and Ig domain containing 1","NS",1.97469413473523
"COL6A3",18.9,6.33,2.61,0.0107,0.75,"Non-endocrine","1293","collagen type VI alpha 3 chain","NS",1.97061622231479
"ALDH3B2",32.8,-2.35,2.68,0.0108,0.75,"None","222","aldehyde dehydrogenase 3 family member B2","NS",1.96657624451305
"SUPT4H1",-59.7,-1.21,-2.65,0.0108,0.75,"None","6827","SPT4 homolog, DSIF elongation factor subunit","NS",1.96657624451305
"TRPC4",27.6,0.754,2.6,0.0108,0.75,"None","7223","transient receptor potential cation channel subfamily C member 4","NS",1.96657624451305
"TYROBP",26.6,0.356,2.6,0.011,0.75,"Non-endocrine","7305","transmembrane immune signaling adaptor TYROBP","NS",1.95860731484178
"CCKBR",20.6,2.16,2.59,0.0111,0.75,"None","887","cholecystokinin B receptor","NS",1.95467702121334
"SYT3",19.7,0.742,2.59,0.0112,0.75,"None","84258","synaptotagmin 3","NS",1.95078197732982
"NPW",23.5,1.43,2.59,0.0113,0.75,"None","283869","neuropeptide W","NS",1.94692155651658
"VAMP1",15.3,2.82,2.58,0.0113,0.75,"None","6843","vesicle associated membrane protein 1","NS",1.94692155651658
"TPH1",14.1,1.21,2.58,0.0113,0.75,"None","7166","tryptophan hydroxylase 1","NS",1.94692155651658
"ZNF385D",-18.2,4.16,-2.58,0.0114,0.75,"Endocrine","79750","zinc finger protein 385D","NS",1.94309514866353
"DACH2",-20.9,3.68,-2.58,0.0115,0.75,"Endocrine","117154","dachshund family transcription factor 2","NS",1.93930215964639
"TMEM176A",14.5,6.04,2.58,0.0115,0.75,"Non-endocrine","55365","transmembrane protein 176A","NS",1.93930215964639
"IL18R1",21.6,1.64,2.58,0.0115,0.75,"Non-endocrine","8809","interleukin 18 receptor 1","NS",1.93930215964639
"CD83",15.6,4.43,2.58,0.0115,0.75,"None","9308","CD83 molecule","NS",1.93930215964639
"NBPF10",20.8,0.761,2.57,0.0116,0.75,"Non-endocrine","100132406","NBPF member 10","NS",1.93554201077308
"GMIP",15.6,2.44,2.57,0.0116,0.75,"Non-endocrine","51291","GEM interacting protein","NS",1.93554201077308
"DAAM2",18.9,3.18,2.57,0.0117,0.75,"None","23500","dishevelled associated activator of morphogenesis 2","NS",1.93181413825384
"CDH17",27.8,0.909,2.57,0.0118,0.75,"None","1015","cadherin 17","NS",1.92811799269387
"SLC44A4",14,4.46,2.57,0.0118,0.75,"None","80736","solute carrier family 44 member 4","NS",1.92811799269387
"CNIH3",13.6,2.56,2.57,0.0119,0.75,"Non-endocrine","149111","cornichon family AMPA receptor auxiliary protein 3","NS",1.92445303860747
"MYLK",18.5,4.4,2.56,0.012,0.75,"Non-endocrine","4638","myosin light chain kinase","NS",1.92081875395238
"STEAP4",25.6,4.2,2.56,0.012,0.75,"Non-endocrine","79689","STEAP4 metalloreductase","NS",1.92081875395238
"IQCA1",28.5,-0.376,2.56,0.012,0.75,"Non-endocrine","79781","IQ motif containing with AAA domain 1","NS",1.92081875395238
"GAREM2",16.6,1.75,2.56,0.0121,0.75,"None","150946","GRB2 associated regulator of MAPK1 subtype 2","NS",1.91721462968355
