"Feature","Coefficient","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"DPP4",-12.7,4.98,-6.23,1.32e-08,1.11e-05,"None","1803","dipeptidyl peptidase 4","down",7.87942606879415
"CHD5",-12.5,3.81,-6.15,1.89e-08,1.44e-05,"None","26038","chromodomain helicase DNA binding protein 5","down",7.72353819582676
"LIMA1",-6.66,5.59,-6.15,1.91e-08,1.44e-05,"None","51474","LIM domain and actin binding 1","down",7.71896663275227
"IL10RA",-12.5,4.16,-6.11,2.26e-08,1.62e-05,"None","3587","interleukin 10 receptor subunit alpha","down",7.6458915608526
"STK32B",-13.1,4.18,-6.09,2.47e-08,1.69e-05,"None","55351","serine/threonine kinase 32B","down",7.60730304674033
"MSANTD1",-12.5,2.6,-6.07,2.71e-08,1.76e-05,"None","345222","Myb/SANT DNA binding domain containing 1","down",7.56703070912559
"TMEM108",10.9,2.87,6.05,2.96e-08,1.84e-05,"Endocrine","66000","transmembrane protein 108","up",7.52870828894106
"MYO10",-8.47,6.46,-6.02,3.42e-08,1.98e-05,"Non-endocrine","4651","myosin X","down",7.46597389394386
"PLIN3",-8.22,5.58,-6.02,3.47e-08,1.98e-05,"None","10226","perilipin 3","down",7.45967052520913
"ZFR2",-11.6,2.16,-5.92,5.47e-08,3.01e-05,"None","23217","zinc finger RNA binding protein 2","down",7.26201267366657
"AMPH",10.4,4.82,5.91,5.71e-08,3.02e-05,"None","273","amphiphysin","up",7.24336389175415
"FSTL5",-15,4.2,-5.86,7.07e-08,3.4e-05,"None","56884","follistatin like 5","down",7.1505805862031
"CHL1",17.1,3.96,5.86,7.12e-08,3.4e-05,"None","10752","cell adhesion molecule L1 like","up",7.14752000636314
"SAMD11",11.6,5.3,5.86,7.13e-08,3.4e-05,"Endocrine","148398","sterile alpha motif domain containing 11","up",7.14691047014813
"CADM4",-7.58,4.4,-5.83,7.94e-08,3.67e-05,"Non-endocrine","199731","cell adhesion molecule 4","down",7.1001794975729
"SLC6A17",10.4,6.49,5.81,8.51e-08,3.81e-05,"Endocrine","388662","solute carrier family 6 member 17","up",7.07007043991541
"TSHZ3",7.96,3.54,5.75,1.12e-07,4.78e-05,"None","57616","teashirt zinc finger homeobox 3","up",6.95078197732982
"SALL4",-10.2,2.5,-5.74,1.17e-07,4.78e-05,"None","57167","spalt like transcription factor 4","down",6.93181413825384
"ADCYAP1",12,7.5,5.72,1.26e-07,4.78e-05,"Endocrine","116","adenylate cyclase activating polypeptide 1","up",6.89962945488244
"INSYN1",12.1,5.05,5.73,1.26e-07,4.78e-05,"Endocrine","388135","inhibitory synaptic factor 1","up",6.89962945488244
"ENTPD3",10.7,6.93,5.73,1.26e-07,4.78e-05,"None","956","ectonucleoside triphosphate diphosphohydrolase 3","up",6.89962945488244
"NPTX2",10.5,7.37,5.72,1.27e-07,4.78e-05,"None","4885","neuronal pentraxin 2","up",6.89619627904404
"POPDC3",-13.7,2.83,-5.67,1.6e-07,5.84e-05,"None","64208","popeye domain containing 3","down",6.79588001734407
"GRIN2D",16.4,1.01,5.67,1.63e-07,5.84e-05,"Endocrine","2906","glutamate ionotropic receptor NMDA type subunit 2D","up",6.78781239559604
"TGFBR3",8.05,6.91,5.65,1.77e-07,6.18e-05,"Endocrine","7049","transforming growth factor beta receptor 3","up",6.75202673363819
"SEMA3E",-12.6,3.28,-5.55,2.69e-07,9.18e-05,"None","9723","semaphorin 3E","down",6.57024771999759
"SLC44A4",-8.48,4.46,-5.52,3e-07,9.99e-05,"None","80736","solute carrier family 44 member 4","down",6.52287874528034
"BVES",-13.6,1.9,-5.5,3.3e-07,0.000107,"None","11149","blood vessel epicardial substance","down",6.48148606012211
"APOH",-11.8,6.41,-5.49,3.46e-07,0.00011,"None","350","apolipoprotein H","down",6.46092390120722
"S1PR2",-7.87,2.84,-5.48,3.61e-07,0.000111,"Non-endocrine","9294","sphingosine-1-phosphate receptor 2","down",6.44249279809434
"GCGR",12.9,4.24,5.47,3.73e-07,0.000111,"None","2642","glucagon receptor","up",6.42829116819131
"GOLPH3L",6.41,5.03,5.47,3.73e-07,0.000111,"None","55204","golgi phosphoprotein 3 like","up",6.42829116819131
"TCN2",-7.68,4.08,-5.45,4.16e-07,0.000122,"None","6948","transcobalamin 2","down",6.38090666937326
"CTNNA2",10.5,4.31,5.4,4.99e-07,0.000143,"None","1496","catenin alpha 2","up",6.30189945437661
"NECTIN3",7.38,5.47,5.39,5.26e-07,0.000148,"Endocrine","25945","nectin cell adhesion molecule 3","up",6.27901425584626
"ZNF385D",10.8,4.16,5.38,5.56e-07,0.000153,"Endocrine","79750","zinc finger protein 385D","up",6.25492520841794
"BCAM",-7.85,8.34,-5.36,6.01e-07,0.000159,"None","4059","basal cell adhesion molecule (Lutheran blood group)","down",6.22112552799726
"USP27X",-8.84,3.89,-5.36,6.02e-07,0.000159,"None","389856","ubiquitin specific peptidase 27 X-linked","down",6.22040350874218
"P2RX6",11.7,2.43,5.35,6.35e-07,0.000165,"None","9127","purinergic receptor P2X 6","up",6.19722627470802
"CABLES1",7.98,3.42,5.32,7.29e-07,0.000186,"None","91768","Cdk5 and Abl enzyme substrate 1","up",6.13727247168203
"NRSN1",12.2,1.82,5.31,7.57e-07,0.00019,"None","140767","neurensin 1","up",6.12090412049993
"NAT8L",8.74,5.06,5.3,7.72e-07,0.00019,"Endocrine","339983","N-acetyltransferase 8 like","up",6.11238269966426
"VSTM2L",-10,4.73,-5.29,8.03e-07,0.000195,"None","128434","V-set and transmembrane domain containing 2 like","down",6.09528445472132
"KCNK10",-13.3,2.15,-5.25,9.5e-07,0.000227,"None","54207","potassium two pore domain channel subfamily K member 10","down",6.02227639471115
"ANKRD6",6.77,4.41,5.24,9.99e-07,0.000234,"Endocrine","22881","ankyrin repeat domain 6","up",6.00043451177402
"PFKFB2",10.1,8.25,5.23,1.02e-06,0.000235,"Endocrine","5208","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","up",5.99139982823808
"GC",-11.1,9.33,-5.23,1.06e-06,0.000241,"None","2638","GC vitamin D binding protein","down",5.97469413473523
"KCNIP1",-10.5,3.67,-5.22,1.08e-06,0.000242,"None","30820","potassium voltage-gated channel interacting protein 1","down",5.96657624451305
"SHISAL2B",13.8,6.05,5.21,1.12e-06,0.000247,"None","100132916","shisa like 2B","up",5.95078197732982
"CSGALNACT1",-11.3,4.81,-5.21,1.15e-06,0.000249,"None","55790","chondroitin sulfate N-acetylgalactosaminyltransferase 1","down",5.93930215964639
"KCNG3",9.6,4.4,5.19,1.21e-06,0.000258,"None","170850","potassium voltage-gated channel modifier subfamily G member 3","up",5.91721462968355
"CYP27A1",6.72,4.51,5.15,1.46e-06,0.000308,"None","1593","cytochrome P450 family 27 subfamily A member 1","up",5.83564714421556
"NHS",-13.3,2.44,-5.14,1.51e-06,0.000313,"None","4810","NHS actin remodeling regulator","down",5.82102305270683
"PRKAR2B",6.56,4.67,5.13,1.58e-06,0.000322,"None","5577","protein kinase cAMP-dependent type II regulatory subunit beta","up",5.80134291304558
"MEG3",10.5,9.7,5.08,1.97e-06,0.000396,"Endocrine","55384","maternally expressed 3","up",5.70553377383841
"CYYR1",9,5.28,5.06,2.07e-06,0.000411,"None","116159","cysteine and tyrosine rich 1","up",5.68402965454308
"CLDN11",-14.2,-0.613,-5.06,2.11e-06,0.000411,"None","5010","claudin 11","down",5.67571754470231
"CASR",11,6.45,5.06,2.13e-06,0.000411,"Endocrine","846","calcium sensing receptor","up",5.67162039656126
"NKX6-3",16.5,2.91,5.05,2.16e-06,0.000411,"None","157848","NK6 homeobox 3","up",5.66554624884907
"KLHDC8A",11,4.35,5.05,2.21e-06,0.000416,"None","55220","kelch domain containing 8A","up",5.65560772631489
"PCSK1",10.6,8.93,5.04,2.26e-06,0.00042,"None","5122","proprotein convertase subtilisin/kexin type 1","up",5.6458915608526
"OLFM2",8.22,5.8,5.04,2.33e-06,0.000427,"Endocrine","93145","olfactomedin 2","up",5.63264407897398
"INS",12,14.6,5.02,2.53e-06,0.000458,"None","3630","insulin","up",5.59687947882418
"RXRG",11.3,5.47,5,2.69e-06,0.000482,"None","6258","retinoid X receptor gamma","up",5.57024771999759
"UNC5D",14.3,2.77,5,2.73e-06,0.000483,"Endocrine","137970","unc-5 netrin receptor D","up",5.56383735295924
"MTUS2",8.18,5.84,4.99,2.83e-06,0.000494,"Endocrine","23281","microtubule associated scaffold protein 2","up",5.54821356447571
"C1orf127",11.9,6.93,4.98,2.94e-06,5e-04,"Endocrine","148345","chromosome 1 open reading frame 127","up",5.53165266958784
"FFAR4",15.1,3.13,4.98,2.94e-06,5e-04,"Endocrine","338557","free fatty acid receptor 4","up",5.53165266958784
"ACP6",6.41,4.04,4.98,2.97e-06,5e-04,"None","51205","acid phosphatase 6, lysophosphatidic","up",5.52724355068279
"FAP",-12.3,5.89,-4.97,3.01e-06,0.000501,"None","2191","fibroblast activation protein alpha","down",5.52143350440616
"CERS1",-11.2,1.46,-4.97,3.09e-06,0.000509,"None","10715","ceramide synthase 1","down",5.51004152057517
"IGFBPL1",-10.5,3,-4.96,3.2e-06,0.000521,"None","347252","insulin like growth factor binding protein like 1","down",5.49485002168009
"CDHR1",15.9,1.84,4.95,3.31e-06,0.000533,"None","92211","cadherin related family member 1","up",5.48017200622428
"SMIM24",-12.2,5.77,-4.95,3.36e-06,0.000534,"None","284422","small integral membrane protein 24","down",5.47366072261016
"ADGRG2",-11.7,4.29,-4.94,3.4e-06,0.000535,"None","10149","adhesion G protein-coupled receptor G2","down",5.46852108295774
"BAIAP2L2",-11.9,3.52,-4.93,3.56e-06,0.000554,"None","80115","BAR/IMD domain containing adaptor protein 2 like 2","down",5.44855000202713
"MYRF",-7.36,6.01,-4.92,3.68e-06,0.000567,"None","745","myelin regulatory factor","down",5.43415218132648
"SIX2",9.88,4.09,4.9,4.01e-06,0.000608,"None","10736","SIX homeobox 2","up",5.39685562737982
"LRFN2",12,3.21,4.9,4.03e-06,0.000608,"None","57497","leucine rich repeat and fibronectin type III domain containing 2","up",5.39469495385889
"BARD1",-12.5,0.773,-4.89,4.25e-06,0.000633,"Non-endocrine","580","BRCA1 associated RING domain 1","down",5.37161106994969
"SSX2IP",-6.89,6.11,-4.88,4.42e-06,0.000645,"None","117178","SSX family member 2 interacting protein","down",5.35457773065091
"H2AW",9.03,2.6,4.88,4.44e-06,0.000645,"None","92815","H2A.W histone","up",5.35261702988538
"PAPPA2",-13.2,6.06,-4.88,4.47e-06,0.000645,"None","60676","pappalysin 2","down",5.34969247686806
"SEC14L6",-8.66,2.85,-4.87,4.61e-06,0.00066,"None","730005","SEC14 like lipid binding 6","down",5.33629907461035
"KCNH6",-8.97,5.54,-4.86,4.66e-06,0.000661,"None","81033","potassium voltage-gated channel subfamily H member 6","down",5.33161408331
"POTEJ",-15.2,-0.614,-4.85,5.08e-06,0.000712,"None","653781","POTE ankyrin domain family member J","down",5.29413628771608
"MISP",-8.91,4.74,-4.84,5.14e-06,0.000715,"None","126353","mitotic spindle positioning","down",5.28903688100472
"SORBS1",-6.73,5.02,-4.84,5.24e-06,0.000721,"None","10580","sorbin and SH3 domain containing 1","down",5.28066871301627
"SQOR",-8.34,4.09,-4.83,5.3e-06,0.000723,"Non-endocrine","58472","sulfide quinone oxidoreductase","down",5.27572413039921
"FEV",-11,4.52,-4.83,5.37e-06,0.000725,"None","54738","FEV transcription factor, ETS family member","down",5.27002571430044
"ABCC8",9.95,9.74,4.82,5.62e-06,0.000751,"Endocrine","6833","ATP binding cassette subfamily C member 8","up",5.25026368443094
"TMEM25",5.5,5.09,4.81,5.82e-06,0.000771,"None","84866","transmembrane protein 25","up",5.23507701535011
"FAM189A1",-8.36,3.36,-4.8,6.15e-06,0.000807,"None","23359","family with sequence similarity 189 member A1","down",5.21112488422458
"UPB1",-9.02,2.32,-4.79,6.38e-06,0.000829,"None","51733","beta-ureidopropionase 1","down",5.19517932127884
"TPM4",-6.5,7.83,-4.77,6.68e-06,0.000856,"None","7171","tropomyosin 4","down",5.17522353752445
"RASGRF1",11.1,6.56,4.77,6.7e-06,0.000856,"None","5923","Ras protein specific guanine nucleotide releasing factor 1","up",5.17392519729917
"FAM83F",-5.53,5.19,-4.77,6.84e-06,0.000867,"None","113828","family with sequence similarity 83 member F","down",5.16494389827988
"BOC",-7.54,4.73,-4.77,6.92e-06,0.000869,"None","91653","BOC cell adhesion associated, oncogene regulated","down",5.15989390554324
"TMEM176A",-7.83,6.04,-4.76,7.05e-06,0.000877,"Non-endocrine","55365","transmembrane protein 176A","down",5.1518108830086
"C1QL1",11.7,6.7,4.73,8.04e-06,0.000992,"None","10882","complement C1q like 1","up",5.09474395125155
"ARL16",6.52,4.96,4.72,8.38e-06,0.00102,"Endocrine","339231","ADP ribosylation factor like GTPase 16","up",5.07675598136972
"RWDD2B",5.61,4,4.72,8.39e-06,0.00102,"None","10069","RWD domain containing 2B","up",5.0762380391713
"SLC2A2",14.4,3.47,4.71,8.68e-06,0.00104,"None","6514","solute carrier family 2 member 2","up",5.06148027482351
"RAB40C",-6.14,4.82,-4.71,8.8e-06,0.00105,"Non-endocrine","57799","RAB40C, member RAS oncogene family","down",5.05551732784983
"F2",-12,-1.13,-4.71,9.04e-06,0.00107,"None","2147","coagulation factor II, thrombin","down",5.04383156952464
"DACH2",11.1,3.68,4.69,9.44e-06,0.00111,"Endocrine","117154","dachshund family transcription factor 2","up",5.02502800570193
"ESR1",9.41,4.07,4.68,9.61e-06,0.00112,"Endocrine","2099","estrogen receptor 1","up",5.01727661233145
"PLCB4",7.96,6.18,4.67,9.94e-06,0.00115,"Endocrine","5332","phospholipase C beta 4","up",5.00261361560269
"SLC27A2",7.16,2.41,4.67,1.01e-05,0.00115,"None","11001","solute carrier family 27 member 2","up",4.99567862621736
"KANK1",-9.02,4.85,-4.67,1.03e-05,0.00117,"None","23189","KN motif and ankyrin repeat domains 1","down",4.98716277529483
"SPOCK3",-11.4,3.7,-4.64,1.15e-05,0.0013,"None","50859","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3","down",4.93930215964639
"OLIG1",13.7,-0.0584,4.64,1.16e-05,0.0013,"Endocrine","116448","oligodendrocyte transcription factor 1","up",4.93554201077308
"LUZP1",-7.5,5.14,-4.63,1.18e-05,0.00131,"None","7798","leucine zipper protein 1","down",4.92811799269387
"SNX10",5.89,4.27,4.62,1.24e-05,0.00137,"None","29887","sorting nexin 10","up",4.90657831483777
"SALL2",6.82,5.51,4.61,1.26e-05,0.00138,"Endocrine","6297","spalt like transcription factor 2","up",4.89962945488244
"PTPRU",7.08,5.26,4.61,1.28e-05,0.00139,"None","10076","protein tyrosine phosphatase receptor type U","up",4.89279003035213
"ERMN",13.8,1.71,4.6,1.32e-05,0.00142,"None","57471","ermin","up",4.87942606879415
"PDE9A",-6.82,3.88,-4.59,1.39e-05,0.00148,"None","5152","phosphodiesterase 9A","down",4.85698519974591
"TCHH",11,2.01,4.58,1.44e-05,0.00152,"Endocrine","7062","trichohyalin","up",4.84163750790475
"ERICH5",9.89,4.22,4.58,1.46e-05,0.00153,"None","203111","glutamate rich 5","up",4.83564714421556
"LBH",-7.37,5.17,-4.57,1.52e-05,0.00159,"None","81606","LBH regulator of WNT signaling pathway","down",4.81815641205523
"DSCAM",-8.4,3.36,-4.56,1.53e-05,0.00159,"None","1826","DS cell adhesion molecule","down",4.8153085691824
"ITGA7",-9.05,4.26,-4.56,1.58e-05,0.00161,"None","3679","integrin subunit alpha 7","down",4.80134291304558
"MIOX",15.3,1.04,4.56,1.58e-05,0.00161,"None","55586","myo-inositol oxygenase","up",4.80134291304558
"TSFM",7.48,1.01,4.56,1.59e-05,0.00161,"None","10102","Ts translation elongation factor, mitochondrial","up",4.79860287567955
"GPC6",-9.48,3.98,-4.55,1.62e-05,0.00163,"None","10082","glypican 6","down",4.79048498545737
"KIAA1549L",-11.3,3.41,-4.55,1.62e-05,0.00163,"None","25758","KIAA1549 like","down",4.79048498545737
"ARHGEF9",6.98,6.05,4.54,1.67e-05,0.00166,"Endocrine","23229","Cdc42 guanine nucleotide exchange factor 9","up",4.77728352885242
"MYCN",14.3,0.225,4.54,1.68e-05,0.00166,"None","4613","MYCN proto-oncogene, bHLH transcription factor","up",4.77469071827414
"LAMB1",-6.38,6.86,-4.54,1.69e-05,0.00166,"Non-endocrine","3912","laminin subunit beta 1","down",4.77211329538633
"ADGRA1",10.9,2.27,4.53,1.77e-05,0.00173,"Endocrine","84435","adhesion G protein-coupled receptor A1","up",4.75202673363819
"SNCB",10.3,3.41,4.52,1.8e-05,0.00174,"None","6620","synuclein beta","up",4.74472749489669
"ASCL2",12.2,3.26,4.52,1.81e-05,0.00174,"None","430","achaete-scute family bHLH transcription factor 2","up",4.74232142513082
"CERCAM",-5.72,5.46,-4.52,1.83e-05,0.00174,"None","51148","cerebral endothelial cell adhesion molecule","down",4.73754891026957
"IAPP",24.2,10.5,4.52,1.84e-05,0.00174,"None","3375","islet amyloid polypeptide","up",4.73518217699046
"KIAA0040",-6.75,5.54,-4.51,1.86e-05,0.00175,"Non-endocrine","9674","KIAA0040","down",4.73048705578208
"PRKCA",6.36,5.13,4.51,1.92e-05,0.00178,"None","5578","protein kinase C alpha","up",4.71669877129645
"WIPF3",-6.97,3.1,-4.51,1.92e-05,0.00178,"Non-endocrine","644150","WAS/WASL interacting protein family member 3","down",4.71669877129645
"TMEM150C",10.2,5.01,4.49,2.04e-05,0.00188,"None","441027","transmembrane protein 150C","up",4.6903698325741
"CTNNA3",12.4,0.824,4.49,2.09e-05,0.00191,"Endocrine","29119","catenin alpha 3","up",4.67985371388895
"PLA1A",7.93,1.93,4.48,2.1e-05,0.00191,"None","51365","phospholipase A1 member A","up",4.67778070526608
"PRKCE",-5.61,5.64,-4.47,2.2e-05,0.00198,"None","5581","protein kinase C epsilon","down",4.65757731917779
"FRMPD3",-13.8,2.65,-4.47,2.2e-05,0.00198,"None","84443","FERM and PDZ domain containing 3","down",4.65757731917779
"IRS1",-8.3,4.75,-4.45,2.34e-05,0.00208,"None","3667","insulin receptor substrate 1","down",4.63078414258986
"PTH2R",12.9,0.405,4.45,2.34e-05,0.00208,"None","5746","parathyroid hormone 2 receptor","up",4.63078414258986
"RBP4",12.2,8.15,4.44,2.52e-05,0.00222,"Endocrine","5950","retinol binding protein 4","up",4.59859945921846
"FAM241A",-6.8,3.61,-4.43,2.53e-05,0.00222,"None","132720","family with sequence similarity 241 member A","down",4.59687947882418
"CNIH3",-6.93,2.56,-4.43,2.54e-05,0.00222,"Non-endocrine","149111","cornichon family AMPA receptor auxiliary protein 3","down",4.59516628338006
"PEBP1",6.02,8.99,4.43,2.58e-05,0.00224,"None","5037","phosphatidylethanolamine binding protein 1","up",4.58838029403677
"HOPX",8.71,5.66,4.43,2.6e-05,0.00224,"None","84525","HOP homeobox","up",4.58502665202918
"BID",-7.02,3.59,-4.43,2.62e-05,0.00224,"None","637","BH3 interacting domain death agonist","down",4.58169870868025
"ADRB1",-9.1,1.41,-4.42,2.66e-05,0.00226,"None","153","adrenoceptor beta 1","down",4.57511836336893
"C5orf38",-8.8,4.01,-4.42,2.67e-05,0.00226,"None","153571","chromosome 5 open reading frame 38","down",4.57348873863543
"PFN2",5.57,8.18,4.42,2.69e-05,0.00226,"Endocrine","5217","profilin 2","up",4.57024771999759
"BMF",-10.1,3.81,-4.41,2.74e-05,0.00229,"None","90427","Bcl2 modifying factor","down",4.56224943717961
"GLI3",-10.9,2.9,-4.4,2.85e-05,0.00237,"None","2737","GLI family zinc finger 3","down",4.54515513999149
"COTL1",-5.77,5.61,-4.39,2.97e-05,0.00246,"None","23406","coactosin like F-actin binding protein 1","down",4.52724355068279
"TMEM176B",-8.09,6.28,-4.39,3.03e-05,0.00249,"Non-endocrine","28959","transmembrane protein 176B","down",4.5185573714977
"GABRA2",18.9,0.123,4.4,3.04e-05,0.00249,"None","2555","gamma-aminobutyric acid type A receptor subunit alpha2","up",4.51712641639125
"CABP7",9.32,5.78,4.37,3.25e-05,0.00265,"Endocrine","164633","calcium binding protein 7","up",4.48811663902113
"IMPA1",-5.26,4.96,-4.37,3.27e-05,0.00265,"None","3612","inositol monophosphatase 1","down",4.48545224733971
"SLC22A4",-8.51,1.94,-4.36,3.33e-05,0.00268,"None","6583","solute carrier family 22 member 4","down",4.47755576649368
"ASB9",12.9,5.99,4.36,3.39e-05,0.00271,"Endocrine","140462","ankyrin repeat and SOCS box containing 9","up",4.46980030179692
"TSPAN14",-5.06,5.12,-4.35,3.46e-05,0.00275,"Non-endocrine","81619","tetraspanin 14","down",4.46092390120722
"GAREM2",-8.35,1.75,-4.35,3.5e-05,0.00276,"None","150946","GRB2 associated regulator of MAPK1 subtype 2","down",4.45593195564972
"DLGAP3",-6.71,4.2,-4.35,3.51e-05,0.00276,"None","58512","DLG associated protein 3","down",4.45469288353418
"ARRB1",-9.27,3.39,-4.35,3.54e-05,0.00277,"Non-endocrine","408","arrestin beta 1","down",4.45099673797421
"EPHA8",13.8,3.71,4.34,3.68e-05,0.00286,"None","2046","EPH receptor A8","up",4.43415218132648
"VWA2",-11.4,1.65,-4.33,3.72e-05,0.00287,"None","340706","von Willebrand factor A domain containing 2","down",4.4294570601181
"COL9A2",-7.84,3.71,-4.32,3.97e-05,0.00305,"None","1298","collagen type IX alpha 2 chain","down",4.40120949323688
"GPR157",-11.1,1.52,-4.31,4.08e-05,0.00311,"None","80045","G protein-coupled receptor 157","down",4.38933983691012
"INPP5F",6.66,6.42,4.31,4.09e-05,0.00311,"None","22876","inositol polyphosphate-5-phosphatase F","up",4.38827669199266
"MYO16",-8.46,2.18,-4.31,4.12e-05,0.00311,"None","23026","myosin XVI","down",4.38510278396687
"TTR",-8.35,13.1,-4.31,4.12e-05,0.00311,"None","7276","transthyretin","down",4.38510278396687
"PPP2R2B",-10.5,2.94,-4.3,4.26e-05,0.00319,"None","5521","protein phosphatase 2 regulatory subunit Bbeta","down",4.37059040089728
"ADAMTS18",-14.1,1.76,-4.29,4.3e-05,0.00319,"None","170692","ADAM metallopeptidase with thrombospondin type 1 motif 18","down",4.36653154442041
"PARVB",6.65,6.18,4.29,4.3e-05,0.00319,"None","29780","parvin beta","up",4.36653154442041
"ATP2A3",7.95,8.23,4.29,4.36e-05,0.00321,"Endocrine","489","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3","up",4.36051351073141
"CLU",-6.05,11,-4.28,4.54e-05,0.00333,"None","1191","clusterin","down",4.3429441471429
"ZFPM1",-5.77,3.91,-4.27,4.67e-05,0.00341,"Non-endocrine","161882","zinc finger protein, FOG family member 1","down",4.33068311943389
"FGFR4",-8.25,4.77,-4.27,4.78e-05,0.00347,"None","2264","fibroblast growth factor receptor 4","down",4.32057210338788
"NANOS1",7.01,4.32,4.26,4.94e-05,0.00355,"None","340719","nanos C2HC-type zinc finger 1","up",4.30627305107635
"FANCF",5.59,3.92,4.26,4.95e-05,0.00355,"None","2188","FA complementation group F","up",4.30539480106643
"HLA-E",-6.4,8.33,-4.26,4.96e-05,0.00355,"None","3133","major histocompatibility complex, class I, E","down",4.3045183235098
"CYP2U1",6.55,5.16,4.25,5.02e-05,0.00357,"Endocrine","113612","cytochrome P450 family 2 subfamily U member 1","up",4.29929628285498
"PKIB",7.65,5.2,4.25,5.07e-05,0.00358,"Endocrine","5570","cAMP-dependent protein kinase inhibitor beta","up",4.29499204066666
"MBNL3",7.56,5.08,4.25,5.09e-05,0.00358,"None","55796","muscleblind like splicing regulator 3","up",4.29328221766324
"SNTG2",-9.8,1.44,-4.24,5.17e-05,0.00363,"None","54221","syntrophin gamma 2","down",4.28650945690606
"ITGB1",-5.2,8.66,-4.24,5.32e-05,0.00372,"None","3688","integrin subunit beta 1","down",4.27408836770495
"ACVR1B",5.44,5.98,4.23,5.38e-05,0.00373,"None","91","activin A receptor type 1B","up",4.26921772433361
"HMGB3",-7.03,4.2,-4.22,5.64e-05,0.0039,"None","3149","high mobility group box 3","down",4.24872089601666
"GLIS3",5.45,6.53,4.22,5.67e-05,0.0039,"Endocrine","169792","GLIS family zinc finger 3","up",4.24641694110709
"PRUNE2",7.48,7.08,4.22,5.75e-05,0.00394,"None","158471","prune homolog 2 with BCH domain","up",4.24033215531037
"GLRA1",12.6,2.69,4.21,5.83e-05,0.00398,"None","2741","glycine receptor alpha 1","up",4.23433144524099
"RASSF1",-5.13,4.89,-4.21,5.89e-05,0.00398,"None","11186","Ras association domain family member 1","down",4.2298847052129
"DOCK6",-5.91,4.68,-4.21,5.9e-05,0.00398,"None","57572","dedicator of cytokinesis 6","down",4.22914798835786
"DISP3",10.9,3.43,4.21,5.96e-05,0.00398,"Endocrine","57540","dispatched RND transporter family member 3","up",4.22475374025976
"PPP1R3B",-8.8,3.58,-4.21,5.96e-05,0.00398,"None","79660","protein phosphatase 1 regulatory subunit 3B","down",4.22475374025976
"PTPRT",-11.4,3.88,-4.21,5.98e-05,0.00398,"None","11122","protein tyrosine phosphatase receptor type T","down",4.22329881601159
"SNED1",-6.56,5.32,-4.2,6.18e-05,0.0041,"None","25992","sushi, nidogen and EGF like domains 1","down",4.20901152491118
"MARVELD1",5.81,4.26,4.19,6.35e-05,0.00418,"None","83742","MARVEL domain containing 1","up",4.19722627470802
"B3GALNT1",5.38,3.9,4.19,6.42e-05,0.00418,"None","8706","beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)","up",4.19246497193115
"CRYBA2",-10.1,6.97,-4.19,6.45e-05,0.00418,"None","1412","crystallin beta A2","down",4.19044028536473
